Processed Iteration 50,episodic return 4.890180648815416, reward_pressure: 0.0
Processed Iteration 100,episodic return 760.9697914652352, reward_pressure: 0.0
Processed Iteration 150,episodic return 1852.4485050791272, reward_pressure: 0.0
Processed Iteration 200,episodic return 2444.752817395513, reward_pressure: 0.0
Processed Iteration 250,episodic return 2759.58279011679, reward_pressure: 0.0
Processed Iteration 300,episodic return 3156.3905289966956, reward_pressure: 0.0
Processed Iteration 350,episodic return 3444.5354556016805, reward_pressure: 0.0
Processed Iteration 400,episodic return 3493.324815932824, reward_pressure: 0.0
Processed Iteration 450,episodic return 3514.3698241342754, reward_pressure: 0.0
Processed Iteration 500,episodic return 3482.680787541396, reward_pressure: 0.0
Processed Iteration 550,episodic return 3495.0703284671936, reward_pressure: 0.0
Processed Iteration 600,episodic return 3394.7128694083203, reward_pressure: 0.0
Processed Iteration 650,episodic return 3509.218750882277, reward_pressure: 0.0
Processed Iteration 700,episodic return 3408.031897583234, reward_pressure: 0.0
Processed Iteration 750,episodic return 3387.7995377131538, reward_pressure: 0.0
Processed Iteration 800,episodic return 3411.6424818260075, reward_pressure: 0.0
Processed Iteration 850,episodic return 3494.5821985540115, reward_pressure: 0.0
Processed Iteration 900,episodic return 3449.430074797115, reward_pressure: 0.0
Processed Iteration 950,episodic return 3453.320981467532, reward_pressure: 0.0
Processed Iteration 1000,episodic return 3430.282592093288, reward_pressure: 0.0
Processed Iteration 1050,episodic return 3538.9074668353546, reward_pressure: 0.0
Processed Iteration 1100,episodic return 3446.0747420484927, reward_pressure: 0.0
Processed Iteration 1150,episodic return 3566.8951662224704, reward_pressure: 0.0
Processed Iteration 1200,episodic return 3546.2842892345066, reward_pressure: 0.0
Processed Iteration 1250,episodic return 3572.0357773034734, reward_pressure: 0.0
Processed Iteration 1300,episodic return 3489.2199974810524, reward_pressure: 0.0
Processed Iteration 1350,episodic return 3505.4480924632603, reward_pressure: 0.0
Processed Iteration 1400,episodic return 3529.0712116437, reward_pressure: 0.0
Processed Iteration 1450,episodic return 3520.5584438531178, reward_pressure: 0.0
Processed Iteration 1500,episodic return 3512.0674186629435, reward_pressure: 0.0
Processed Iteration 1550,episodic return 3569.956084685117, reward_pressure: 0.0
Processed Iteration 1600,episodic return 3511.7655883130524, reward_pressure: 0.0
Processed Iteration 1650,episodic return 3548.1162227766126, reward_pressure: 0.0
Processed Iteration 1700,episodic return 3505.911462346036, reward_pressure: 0.0
Processed Iteration 1750,episodic return 3485.7035897923256, reward_pressure: 0.0
Processed Iteration 1800,episodic return 3438.014500965655, reward_pressure: 0.0
Processed Iteration 1850,episodic return 3489.9781563114498, reward_pressure: 0.0
Processed Iteration 1900,episodic return 3526.4598797087865, reward_pressure: 0.0
Processed Iteration 1950,episodic return 3571.7625940611447, reward_pressure: 0.0
Processed Iteration 2000,episodic return 3450.504160296631, reward_pressure: 0.0
