Processed Iteration 50,episodic return 10.213012843471276, reward_pressure: 1.0
Processed Iteration 100,episodic return 451.75266620240546, reward_pressure: 1.0
Processed Iteration 150,episodic return 643.8901473685343, reward_pressure: 1.0
Processed Iteration 200,episodic return 773.8859489409579, reward_pressure: 1.0
Processed Iteration 250,episodic return 790.8751116105506, reward_pressure: 0.9870000000000003
Processed Iteration 300,episodic return 909.4107225831452, reward_pressure: 1.0
Processed Iteration 350,episodic return 969.0785962730463, reward_pressure: 1.0
Processed Iteration 400,episodic return 986.0382777315555, reward_pressure: 0.9510000000000006
Processed Iteration 450,episodic return 985.3391063071749, reward_pressure: 0.9370000000000006
Processed Iteration 500,episodic return 984.8232345538345, reward_pressure: 0.913999999999999
Processed Iteration 550,episodic return 968.8415067835001, reward_pressure: 0.8640000000000009
Processed Iteration 600,episodic return 997.3885044700212, reward_pressure: 0.8889999999999992
Processed Iteration 650,episodic return 997.7539361654065, reward_pressure: 0.8610000000000008
Processed Iteration 700,episodic return 1017.7283290817722, reward_pressure: 0.8380000000000009
Processed Iteration 750,episodic return 1016.0860352239024, reward_pressure: 0.8229999999999995
Processed Iteration 800,episodic return 1036.1966382269434, reward_pressure: 0.7730000000000001
Processed Iteration 850,episodic return 1019.5313216856509, reward_pressure: 0.723
Processed Iteration 900,episodic return 1035.4729568088405, reward_pressure: 0.6729999999999989
Processed Iteration 950,episodic return 1036.9600994034208, reward_pressure: 0.6230000000000007
Processed Iteration 1000,episodic return 968.2582027953623, reward_pressure: 0.5730000000000001
Processed Iteration 1050,episodic return 1023.1820677631706, reward_pressure: 0.5229999999999998
Processed Iteration 1100,episodic return 1030.0695025526409, reward_pressure: 0.5489999999999999
Processed Iteration 1150,episodic return 976.5168076012684, reward_pressure: 0.5009999999999999
Processed Iteration 1200,episodic return 1004.7304463325266, reward_pressure: 0.4509999999999994
Processed Iteration 1250,episodic return 980.8159488509757, reward_pressure: 0.40099999999999963
Processed Iteration 1300,episodic return 978.4593291176689, reward_pressure: 0.3509999999999998
Processed Iteration 1350,episodic return 991.3232972010009, reward_pressure: 0.3009999999999994
Processed Iteration 1400,episodic return 981.1133533044376, reward_pressure: 0.2509999999999999
Processed Iteration 1450,episodic return 991.2651320500613, reward_pressure: 0.20099999999999948
Processed Iteration 1500,episodic return 949.8634754283022, reward_pressure: 0.15099999999999952
Processed Iteration 1550,episodic return 951.5738541193949, reward_pressure: 0.10099999999999966
Processed Iteration 1600,episodic return 951.5241724209112, reward_pressure: 0.050999999999999684
Processed Iteration 1650,episodic return 967.0709769425579, reward_pressure: 0.0009999999999999937
Processed Iteration 1700,episodic return 945.3058714807286, reward_pressure: 0.0
Processed Iteration 1750,episodic return 965.7544201063118, reward_pressure: 0.0
Processed Iteration 1800,episodic return 946.222759736344, reward_pressure: 0.0
Processed Iteration 1850,episodic return 934.8955407482906, reward_pressure: 0.0
Processed Iteration 1900,episodic return 951.9146585632593, reward_pressure: 0.0
Processed Iteration 1950,episodic return 903.9996823808303, reward_pressure: 0.0
Processed Iteration 2000,episodic return 882.4240523057598, reward_pressure: 0.0
