Processed Iteration 50,episodic return -249.13569734640546, reward_pressure: 0.0
Processed Iteration 100,episodic return 541.6870638919928, reward_pressure: 0.0
Processed Iteration 150,episodic return 1749.3808255930335, reward_pressure: 0.0
Processed Iteration 200,episodic return 2249.027550154533, reward_pressure: 0.0
Processed Iteration 250,episodic return 2947.691435712842, reward_pressure: 0.0
Processed Iteration 300,episodic return 2823.6922917411844, reward_pressure: 0.0
Processed Iteration 350,episodic return 2934.379858558627, reward_pressure: 0.0
Processed Iteration 400,episodic return 3036.1451788322593, reward_pressure: 0.0
Processed Iteration 450,episodic return 3713.655227958775, reward_pressure: 0.0
Processed Iteration 500,episodic return 4358.9387065372575, reward_pressure: 0.0
Processed Iteration 550,episodic return 4293.455763249824, reward_pressure: 0.0
Processed Iteration 600,episodic return 4459.090353755831, reward_pressure: 0.0
Processed Iteration 650,episodic return 4470.037086370369, reward_pressure: 0.0
Processed Iteration 700,episodic return 4127.970147361384, reward_pressure: 0.0
Processed Iteration 750,episodic return 4347.637880402752, reward_pressure: 0.0
Processed Iteration 800,episodic return 4433.795244853023, reward_pressure: 0.0
Processed Iteration 850,episodic return 4298.150686177997, reward_pressure: 0.0
Processed Iteration 900,episodic return 4378.10475300982, reward_pressure: 0.0
Processed Iteration 950,episodic return 4333.464012552114, reward_pressure: 0.0
Processed Iteration 1000,episodic return 4373.342583376545, reward_pressure: 0.0
Processed Iteration 1050,episodic return 4335.667034590314, reward_pressure: 0.0
Processed Iteration 1100,episodic return 4549.99141198692, reward_pressure: 0.0
Processed Iteration 1150,episodic return 4433.109074080994, reward_pressure: 0.0
Processed Iteration 1200,episodic return 4446.114416483855, reward_pressure: 0.0
Processed Iteration 1250,episodic return 4583.109834447814, reward_pressure: 0.0
Processed Iteration 1300,episodic return 4516.000735677545, reward_pressure: 0.0
Processed Iteration 1350,episodic return 4321.203522405166, reward_pressure: 0.0
Processed Iteration 1400,episodic return 4457.810218866653, reward_pressure: 0.0
Processed Iteration 1450,episodic return 4453.222355794953, reward_pressure: 0.0
Processed Iteration 1500,episodic return 4513.104556561939, reward_pressure: 0.0
Processed Iteration 1550,episodic return 4267.341811686753, reward_pressure: 0.0
Processed Iteration 1600,episodic return 4572.360613635881, reward_pressure: 0.0
Processed Iteration 1650,episodic return 4480.10396633035, reward_pressure: 0.0
Processed Iteration 1700,episodic return 4347.29860997043, reward_pressure: 0.0
Processed Iteration 1750,episodic return 4491.250294919224, reward_pressure: 0.0
Processed Iteration 1800,episodic return 4497.67632541875, reward_pressure: 0.0
Processed Iteration 1850,episodic return 4478.101552656647, reward_pressure: 0.0
Processed Iteration 1900,episodic return 4583.738933751718, reward_pressure: 0.0
Processed Iteration 1950,episodic return 4500.159633836526, reward_pressure: 0.0
Processed Iteration 2000,episodic return 4523.642477189746, reward_pressure: 0.0
