Processed Iteration 50,episodic return 72.83803314663676, reward_pressure: 0.0
Processed Iteration 100,episodic return 188.12067104578156, reward_pressure: 0.0
Processed Iteration 150,episodic return 257.23612896802354, reward_pressure: 0.0
Processed Iteration 200,episodic return 299.12819511489556, reward_pressure: 0.0
Processed Iteration 250,episodic return 357.2217408018927, reward_pressure: 0.0
Processed Iteration 300,episodic return 464.6596062756183, reward_pressure: 0.0
Processed Iteration 350,episodic return 657.0278421159337, reward_pressure: 0.0
Processed Iteration 400,episodic return 1000.2434606925012, reward_pressure: 0.0
Processed Iteration 450,episodic return 1077.164767531434, reward_pressure: 0.0
Processed Iteration 500,episodic return 1284.1341355798947, reward_pressure: 0.0
Processed Iteration 550,episodic return 1454.8446254456344, reward_pressure: 0.0
Processed Iteration 600,episodic return 1546.9097862025665, reward_pressure: 0.0
Processed Iteration 650,episodic return 1765.5722230803576, reward_pressure: 0.0
Processed Iteration 700,episodic return 1148.0329030056741, reward_pressure: 0.0
Processed Iteration 750,episodic return 1130.616727332748, reward_pressure: 0.0
Processed Iteration 800,episodic return 712.9753894515313, reward_pressure: 0.0
Processed Iteration 850,episodic return 940.135305188717, reward_pressure: 0.0
Processed Iteration 900,episodic return 1117.6180513266927, reward_pressure: 0.0
Processed Iteration 950,episodic return 764.4359334915524, reward_pressure: 0.0
Processed Iteration 1000,episodic return 1107.344849124097, reward_pressure: 0.0
Processed Iteration 1050,episodic return 1335.7611828346467, reward_pressure: 0.0
Processed Iteration 1100,episodic return 1484.858663984554, reward_pressure: 0.0
Processed Iteration 1150,episodic return 1506.3569824468693, reward_pressure: 0.0
Processed Iteration 1200,episodic return 1484.0654518112271, reward_pressure: 0.0
Processed Iteration 1250,episodic return 1473.882327695512, reward_pressure: 0.0
Processed Iteration 1300,episodic return 1585.5063935701203, reward_pressure: 0.0
Processed Iteration 1350,episodic return 1490.2762372857137, reward_pressure: 0.0
Processed Iteration 1400,episodic return 1555.53563871457, reward_pressure: 0.0
Processed Iteration 1450,episodic return 1635.3981928293908, reward_pressure: 0.0
Processed Iteration 1500,episodic return 1671.3724888783895, reward_pressure: 0.0
Processed Iteration 1550,episodic return 1667.6631159576418, reward_pressure: 0.0
Processed Iteration 1600,episodic return 1581.8422527679381, reward_pressure: 0.0
Processed Iteration 1650,episodic return 1529.3140643745826, reward_pressure: 0.0
Processed Iteration 1700,episodic return 1744.7375552754474, reward_pressure: 0.0
Processed Iteration 1750,episodic return 1716.4318341775847, reward_pressure: 0.0
Processed Iteration 1800,episodic return 1683.8886722541401, reward_pressure: 0.0
Processed Iteration 1850,episodic return 1610.5468180884739, reward_pressure: 0.0
Processed Iteration 1900,episodic return 1505.473039388197, reward_pressure: 0.0
Processed Iteration 1950,episodic return 1433.1886584526105, reward_pressure: 0.0
Processed Iteration 2000,episodic return 1497.2998154107463, reward_pressure: 0.0
Processed Iteration 2050,episodic return 1566.470953045701, reward_pressure: 0.0
Processed Iteration 2100,episodic return 1664.0294023561737, reward_pressure: 0.0
Processed Iteration 2150,episodic return 1549.852539113249, reward_pressure: 0.0
Processed Iteration 2200,episodic return 1552.5954155475338, reward_pressure: 0.0
Processed Iteration 2250,episodic return 1596.8071639314512, reward_pressure: 0.0
Processed Iteration 2300,episodic return 1589.4592991941347, reward_pressure: 0.0
Processed Iteration 2350,episodic return 1710.9963092393104, reward_pressure: 0.0
Processed Iteration 2400,episodic return 1633.0133097385424, reward_pressure: 0.0
Processed Iteration 2450,episodic return 1600.4137800522108, reward_pressure: 0.0
Processed Iteration 2500,episodic return 1681.5868862214713, reward_pressure: 0.0
Processed Iteration 2550,episodic return 1591.261943524052, reward_pressure: 0.0
Processed Iteration 2600,episodic return 1456.541055407925, reward_pressure: 0.0
Processed Iteration 2650,episodic return 1060.0814348568927, reward_pressure: 0.0
Processed Iteration 2700,episodic return 1299.1555479287774, reward_pressure: 0.0
Processed Iteration 2750,episodic return 1464.5587619811622, reward_pressure: 0.0
Processed Iteration 2800,episodic return 1874.2511828756792, reward_pressure: 0.0
Processed Iteration 2850,episodic return 1986.3036923628706, reward_pressure: 0.0
Processed Iteration 2900,episodic return 1750.5844150541418, reward_pressure: 0.0
Processed Iteration 2950,episodic return 1065.360147006911, reward_pressure: 0.0
Processed Iteration 3000,episodic return 1620.0475803413103, reward_pressure: 0.0
