Processed Iteration 50,episodic return 180.96768254678952, reward_pressure: 1.0
Processed Iteration 100,episodic return 927.8458494333911, reward_pressure: 1.0
Processed Iteration 150,episodic return 1007.3734203547106, reward_pressure: 0.9560000000000006
Processed Iteration 200,episodic return 1013.6559150555023, reward_pressure: 0.9059999999999993
Processed Iteration 250,episodic return 1015.5987791209839, reward_pressure: 0.8560000000000008
Processed Iteration 300,episodic return 1017.7353933158706, reward_pressure: 0.8059999999999998
Processed Iteration 350,episodic return 1018.4177201376276, reward_pressure: 0.7559999999999999
Processed Iteration 400,episodic return 1020.074941684793, reward_pressure: 0.7059999999999996
Processed Iteration 450,episodic return 1025.1521063402254, reward_pressure: 0.7589999999999998
Processed Iteration 500,episodic return 1034.4086430939838, reward_pressure: 0.9840000000000001
Processed Iteration 550,episodic return 1056.2056021308697, reward_pressure: 1.0
Processed Iteration 600,episodic return 1086.5945169021784, reward_pressure: 1.0
Processed Iteration 650,episodic return 1109.2897625442017, reward_pressure: 1.0
Processed Iteration 700,episodic return 1094.038366825645, reward_pressure: 0.9630000000000006
Processed Iteration 750,episodic return 1110.6340349436252, reward_pressure: 0.9380000000000005
Processed Iteration 800,episodic return 1109.9304729896382, reward_pressure: 0.9249999999999992
Processed Iteration 850,episodic return 1122.5002338779768, reward_pressure: 0.8760000000000006
Processed Iteration 900,episodic return 1125.7973439033433, reward_pressure: 0.8989999999999992
Processed Iteration 950,episodic return 1132.6895826015452, reward_pressure: 0.8880000000000001
Processed Iteration 1000,episodic return 1115.8332226232342, reward_pressure: 0.9399999999999997
Processed Iteration 1050,episodic return 1130.2141614999573, reward_pressure: 0.8899999999999997
Processed Iteration 1100,episodic return 1119.7851367608546, reward_pressure: 0.8399999999999999
Processed Iteration 1150,episodic return 1125.7390234869897, reward_pressure: 0.7900000000000003
Processed Iteration 1200,episodic return 1153.3926246464207, reward_pressure: 0.7400000000000003
Processed Iteration 1250,episodic return 1167.0203409767353, reward_pressure: 0.6899999999999993
Processed Iteration 1300,episodic return 1204.714488131749, reward_pressure: 0.6739999999999998
Processed Iteration 1350,episodic return 1251.9417044599904, reward_pressure: 0.773
Processed Iteration 1400,episodic return 1353.9599450168055, reward_pressure: 0.981
Processed Iteration 1450,episodic return 1375.8927120220699, reward_pressure: 1.0
Processed Iteration 1500,episodic return 1466.3708542614468, reward_pressure: 0.9769999999999999
Processed Iteration 1550,episodic return 1472.8059493360859, reward_pressure: 0.9890000000000007
Processed Iteration 1600,episodic return 1571.0126124183112, reward_pressure: 0.9659999999999996
Processed Iteration 1650,episodic return 1590.8599676942217, reward_pressure: 1.0
Processed Iteration 1700,episodic return 1683.8838314565392, reward_pressure: 1.0
Processed Iteration 1750,episodic return 1651.820732698438, reward_pressure: 1.0
Processed Iteration 1800,episodic return 1570.7238532853955, reward_pressure: 0.9500000000000006
Processed Iteration 1850,episodic return 1579.9239578796412, reward_pressure: 0.8999999999999991
Processed Iteration 1900,episodic return 1664.9937297832366, reward_pressure: 0.8500000000000008
Processed Iteration 1950,episodic return 1673.0208702458558, reward_pressure: 0.7999999999999997
Processed Iteration 2000,episodic return 1738.4321278331843, reward_pressure: 0.7499999999999999
Processed Iteration 2050,episodic return 1593.854363013016, reward_pressure: 0.6999999999999997
Processed Iteration 2100,episodic return 1563.718484403567, reward_pressure: 0.6499999999999992
Processed Iteration 2150,episodic return 1443.919582698936, reward_pressure: 0.6000000000000004
Processed Iteration 2200,episodic return 1546.291714897126, reward_pressure: 0.5499999999999999
Processed Iteration 2250,episodic return 1521.5082350381135, reward_pressure: 0.49999999999999994
Processed Iteration 2300,episodic return 1600.576417695041, reward_pressure: 0.44999999999999934
Processed Iteration 2350,episodic return 1682.53238854977, reward_pressure: 0.4019999999999997
Processed Iteration 2400,episodic return 1755.4270138293357, reward_pressure: 0.4659999999999996
Processed Iteration 2450,episodic return 1780.7614357126172, reward_pressure: 0.5650000000000002
Processed Iteration 2500,episodic return 1718.7012606845137, reward_pressure: 0.5850000000000002
Processed Iteration 2550,episodic return 1764.6977092684394, reward_pressure: 0.5720000000000002
Processed Iteration 2600,episodic return 1819.4381294897964, reward_pressure: 0.5780000000000001
Processed Iteration 2650,episodic return 1786.3930692917647, reward_pressure: 0.5790000000000003
Processed Iteration 2700,episodic return 1807.7834164982726, reward_pressure: 0.5710000000000001
Processed Iteration 2750,episodic return 1908.318763523421, reward_pressure: 0.6379999999999992
Processed Iteration 2800,episodic return 1960.8274434549096, reward_pressure: 0.6120000000000004
Processed Iteration 2850,episodic return 1928.5735913212804, reward_pressure: 0.5619999999999998
Processed Iteration 2900,episodic return 1984.720412042154, reward_pressure: 0.6399999999999992
Processed Iteration 2950,episodic return 1974.2506640450335, reward_pressure: 0.6090000000000004
Processed Iteration 3000,episodic return 2076.4752772809966, reward_pressure: 0.709
