Processed Iteration 50,episodic return 75.95178286113344, reward_pressure: 0.0
Processed Iteration 100,episodic return 116.13106851184887, reward_pressure: 0.0
Processed Iteration 150,episodic return 122.97259724793686, reward_pressure: 0.0
Processed Iteration 200,episodic return 146.64656794811708, reward_pressure: 0.0
Processed Iteration 250,episodic return 212.93945634865858, reward_pressure: 0.0
Processed Iteration 300,episodic return 200.54371977892836, reward_pressure: 0.0
Processed Iteration 350,episodic return 190.70561521143446, reward_pressure: 0.0
Processed Iteration 400,episodic return 193.77189577636736, reward_pressure: 0.0
Processed Iteration 450,episodic return 169.128981817875, reward_pressure: 0.0
Processed Iteration 500,episodic return 197.15753327888171, reward_pressure: 0.0
Processed Iteration 550,episodic return 157.4084841866656, reward_pressure: 0.0
Processed Iteration 600,episodic return 211.61122645056662, reward_pressure: 0.0
Processed Iteration 650,episodic return 199.86151435150452, reward_pressure: 0.0
Processed Iteration 700,episodic return 206.74823970124007, reward_pressure: 0.0
Processed Iteration 750,episodic return 190.50351159585935, reward_pressure: 0.0
Processed Iteration 800,episodic return 218.66149447762578, reward_pressure: 0.0
Processed Iteration 850,episodic return 203.8867118940517, reward_pressure: 0.0
Processed Iteration 900,episodic return 209.00953545611475, reward_pressure: 0.0
Processed Iteration 950,episodic return 236.70553887397764, reward_pressure: 0.0
Processed Iteration 1000,episodic return 246.30567264534125, reward_pressure: 0.0
Processed Iteration 1050,episodic return 254.9941973344431, reward_pressure: 0.0
Processed Iteration 1100,episodic return 201.19617611839695, reward_pressure: 0.0
Processed Iteration 1150,episodic return 242.87655285927215, reward_pressure: 0.0
Processed Iteration 1200,episodic return 241.42172213165912, reward_pressure: 0.0
Processed Iteration 1250,episodic return 215.20043688028431, reward_pressure: 0.0
Processed Iteration 1300,episodic return 232.38492401042083, reward_pressure: 0.0
Processed Iteration 1350,episodic return 226.51494296416425, reward_pressure: 0.0
Processed Iteration 1400,episodic return 204.08182847811275, reward_pressure: 0.0
Processed Iteration 1450,episodic return 207.0118813012207, reward_pressure: 0.0
Processed Iteration 1500,episodic return 202.38604135228815, reward_pressure: 0.0
Processed Iteration 1550,episodic return 202.9931350072369, reward_pressure: 0.0
Processed Iteration 1600,episodic return 183.26389004337747, reward_pressure: 0.0
Processed Iteration 1650,episodic return 195.49496818553666, reward_pressure: 0.0
Processed Iteration 1700,episodic return 182.64498818547213, reward_pressure: 0.0
Processed Iteration 1750,episodic return 185.22148080327253, reward_pressure: 0.0
Processed Iteration 1800,episodic return 182.84148717765984, reward_pressure: 0.0
Processed Iteration 1850,episodic return 184.75358597721913, reward_pressure: 0.0
Processed Iteration 1900,episodic return 200.3153889456304, reward_pressure: 0.0
Processed Iteration 1950,episodic return 246.25832911740653, reward_pressure: 0.0
Processed Iteration 2000,episodic return 377.4736131362726, reward_pressure: 0.0
