Processed Iteration 50,episodic return 11.78, reward_pressure: 0.0
Processed Iteration 100,episodic return 19.14, reward_pressure: 0.0
Processed Iteration 150,episodic return 86.44, reward_pressure: 0.0
Processed Iteration 200,episodic return 87.14, reward_pressure: 0.0
Processed Iteration 250,episodic return 72.68, reward_pressure: 0.0
Processed Iteration 300,episodic return 77.94, reward_pressure: 0.0
Processed Iteration 350,episodic return 100.68, reward_pressure: 0.0
Processed Iteration 400,episodic return 121.84, reward_pressure: 0.0
Processed Iteration 450,episodic return 1335.4, reward_pressure: 0.0
Processed Iteration 500,episodic return 1727.68, reward_pressure: 0.0
Processed Iteration 550,episodic return 8714.82, reward_pressure: 0.0
Processed Iteration 600,episodic return 10000.0, reward_pressure: 0.0
Processed Iteration 650,episodic return 9803.6, reward_pressure: 0.0
Processed Iteration 700,episodic return 10000.0, reward_pressure: 0.0
Processed Iteration 750,episodic return 10000.0, reward_pressure: 0.0
Processed Iteration 800,episodic return 10000.0, reward_pressure: 0.0
Processed Iteration 850,episodic return 10000.0, reward_pressure: 0.0
Processed Iteration 900,episodic return 10000.0, reward_pressure: 0.0
Processed Iteration 950,episodic return 10000.0, reward_pressure: 0.0
Processed Iteration 1000,episodic return 10000.0, reward_pressure: 0.0
