Processed Iteration 50,episodic return 96.74941996697373, reward_pressure: 0.0
Processed Iteration 100,episodic return 273.1063064194047, reward_pressure: 0.0
Processed Iteration 150,episodic return 367.29279683911244, reward_pressure: 0.0
Processed Iteration 200,episodic return 374.1621406012967, reward_pressure: 0.0
Processed Iteration 250,episodic return 470.24062739851115, reward_pressure: 0.0
Processed Iteration 300,episodic return 506.5727310415998, reward_pressure: 0.0
Processed Iteration 350,episodic return 602.7538030331557, reward_pressure: 0.0
Processed Iteration 400,episodic return 1058.811942275815, reward_pressure: 0.0
Processed Iteration 450,episodic return 1386.702109836442, reward_pressure: 0.0
Processed Iteration 500,episodic return 1463.0379328668853, reward_pressure: 0.0
Processed Iteration 550,episodic return 1473.5693662564238, reward_pressure: 0.0
Processed Iteration 600,episodic return 1577.144357855316, reward_pressure: 0.0
Processed Iteration 650,episodic return 1442.7639800473758, reward_pressure: 0.0
Processed Iteration 700,episodic return 1439.8961333411266, reward_pressure: 0.0
Processed Iteration 750,episodic return 1658.250668467612, reward_pressure: 0.0
Processed Iteration 800,episodic return 1655.4087285969206, reward_pressure: 0.0
Processed Iteration 850,episodic return 1621.9710370091252, reward_pressure: 0.0
Processed Iteration 900,episodic return 1574.932557145608, reward_pressure: 0.0
Processed Iteration 950,episodic return 1365.1901774058126, reward_pressure: 0.0
Processed Iteration 1000,episodic return 1516.9630053416518, reward_pressure: 0.0
Processed Iteration 1050,episodic return 1512.0335177419388, reward_pressure: 0.0
Processed Iteration 1100,episodic return 1725.812489552857, reward_pressure: 0.0
Processed Iteration 1150,episodic return 1800.90789452928, reward_pressure: 0.0
Processed Iteration 1200,episodic return 1849.3941839183797, reward_pressure: 0.0
Processed Iteration 1250,episodic return 1718.7075396727512, reward_pressure: 0.0
Processed Iteration 1300,episodic return 1634.7546815600474, reward_pressure: 0.0
Processed Iteration 1350,episodic return 1591.5233411626073, reward_pressure: 0.0
Processed Iteration 1400,episodic return 1565.5910483388739, reward_pressure: 0.0
Processed Iteration 1450,episodic return 1544.8853551043733, reward_pressure: 0.0
Processed Iteration 1500,episodic return 1569.7617291570684, reward_pressure: 0.0
Processed Iteration 1550,episodic return 1441.854567322239, reward_pressure: 0.0
Processed Iteration 1600,episodic return 1379.8183704937471, reward_pressure: 0.0
Processed Iteration 1650,episodic return 1406.1416110953658, reward_pressure: 0.0
Processed Iteration 1700,episodic return 1577.2888043353832, reward_pressure: 0.0
Processed Iteration 1750,episodic return 1503.464210956266, reward_pressure: 0.0
Processed Iteration 1800,episodic return 1577.9107502237373, reward_pressure: 0.0
Processed Iteration 1850,episodic return 1541.8837632509542, reward_pressure: 0.0
Processed Iteration 1900,episodic return 1712.8590574385319, reward_pressure: 0.0
Processed Iteration 1950,episodic return 1571.6215862022511, reward_pressure: 0.0
Processed Iteration 2000,episodic return 1770.582311854049, reward_pressure: 0.0
