Processed Iteration 50,episodic return -356.7335474246457, reward_pressure: 0.0
Processed Iteration 100,episodic return -1092.632397394339, reward_pressure: 0.0
Processed Iteration 150,episodic return -1452.2554591281023, reward_pressure: 0.0
Processed Iteration 200,episodic return -1445.2728655535673, reward_pressure: 0.0
Processed Iteration 250,episodic return -1711.8448269557841, reward_pressure: 0.0
Processed Iteration 300,episodic return -1705.5985659580954, reward_pressure: 0.0
Processed Iteration 350,episodic return -1762.5554895094747, reward_pressure: 0.0
Processed Iteration 400,episodic return -1921.2183011436348, reward_pressure: 0.0
Processed Iteration 450,episodic return -1788.4019595527113, reward_pressure: 0.0
Processed Iteration 500,episodic return -1754.6404198714163, reward_pressure: 0.0
Processed Iteration 550,episodic return -1835.6718559758845, reward_pressure: 0.0
Processed Iteration 600,episodic return -1846.9914088346347, reward_pressure: 0.0
Processed Iteration 650,episodic return -1705.2000568309804, reward_pressure: 0.0
Processed Iteration 700,episodic return -1728.549920546004, reward_pressure: 0.0
Processed Iteration 750,episodic return -1718.652542885164, reward_pressure: 0.0
Processed Iteration 800,episodic return -1736.0517190776684, reward_pressure: 0.0
Processed Iteration 850,episodic return -1876.3032194315442, reward_pressure: 0.0
Processed Iteration 900,episodic return -1640.718590900751, reward_pressure: 0.0
Processed Iteration 950,episodic return -1743.686357272564, reward_pressure: 0.0
Processed Iteration 1000,episodic return -1668.209628271879, reward_pressure: 0.0
Processed Iteration 1050,episodic return -1685.6534069389654, reward_pressure: 0.0
Processed Iteration 1100,episodic return -1581.2462519759192, reward_pressure: 0.0
Processed Iteration 1150,episodic return -1439.411219116063, reward_pressure: 0.0
Processed Iteration 1200,episodic return -948.4303240931818, reward_pressure: 0.0
Processed Iteration 1250,episodic return -624.7469855589684, reward_pressure: 0.0
Processed Iteration 1300,episodic return 896.6994322286461, reward_pressure: 0.0
Processed Iteration 1350,episodic return 1283.4119310923268, reward_pressure: 0.0
Processed Iteration 1400,episodic return 1392.4352032716395, reward_pressure: 0.0
Processed Iteration 1450,episodic return 1642.7374080570437, reward_pressure: 0.0
Processed Iteration 1500,episodic return 1713.1811707134104, reward_pressure: 0.0
Processed Iteration 1550,episodic return 1704.1304094004233, reward_pressure: 0.0
Processed Iteration 1600,episodic return 1705.0576451478169, reward_pressure: 0.0
Processed Iteration 1650,episodic return 1714.1145310662268, reward_pressure: 0.0
Processed Iteration 1700,episodic return 1713.513826112311, reward_pressure: 0.0
Processed Iteration 1750,episodic return 1735.5016409650964, reward_pressure: 0.0
Processed Iteration 1800,episodic return 1718.1531082035874, reward_pressure: 0.0
Processed Iteration 1850,episodic return 1753.101562442948, reward_pressure: 0.0
Processed Iteration 1900,episodic return 1774.337173653153, reward_pressure: 0.0
Processed Iteration 1950,episodic return 1740.5450063096175, reward_pressure: 0.0
Processed Iteration 2000,episodic return 1744.6190700093732, reward_pressure: 0.0
