Processed Iteration 50,episodic return -0.5339125589035484, reward_pressure: 1.0
Processed Iteration 100,episodic return 426.2606986497656, reward_pressure: 1.0
Processed Iteration 150,episodic return 713.5683981605989, reward_pressure: 1.0
Processed Iteration 200,episodic return 830.3545462786437, reward_pressure: 1.0
Processed Iteration 250,episodic return 906.8487604244375, reward_pressure: 1.0
Processed Iteration 300,episodic return 939.8995002818867, reward_pressure: 1.0
Processed Iteration 350,episodic return 999.4850231796289, reward_pressure: 1.0
Processed Iteration 400,episodic return 996.9241795770885, reward_pressure: 0.990399999999999
Processed Iteration 450,episodic return 989.8576089376667, reward_pressure: 0.9704000000000005
Processed Iteration 500,episodic return 1015.2684673292928, reward_pressure: 0.977599999999999
Processed Iteration 550,episodic return 1028.1863269496114, reward_pressure: 0.9984000000000001
Processed Iteration 600,episodic return 1060.0269584737189, reward_pressure: 0.9955999999999993
Processed Iteration 650,episodic return 1041.1909119542026, reward_pressure: 0.9756
Processed Iteration 700,episodic return 1062.6963822545224, reward_pressure: 0.9556
Processed Iteration 750,episodic return 1027.765245788059, reward_pressure: 0.9356000000000004
Processed Iteration 800,episodic return 1048.2126762413434, reward_pressure: 0.9156000000000003
Processed Iteration 850,episodic return 1055.9654847456716, reward_pressure: 0.8956000000000001
Processed Iteration 900,episodic return 1030.406943936203, reward_pressure: 0.8887999999999991
Processed Iteration 950,episodic return 1027.2310492300762, reward_pressure: 0.8912000000000003
Processed Iteration 1000,episodic return 1015.1207012032304, reward_pressure: 0.8711999999999995
Processed Iteration 1050,episodic return 976.196058476432, reward_pressure: 0.8512000000000006
Processed Iteration 1100,episodic return 989.8173074796813, reward_pressure: 0.8312
Processed Iteration 1150,episodic return 1048.793394139617, reward_pressure: 0.8111999999999996
Processed Iteration 1200,episodic return 1005.1551426788033, reward_pressure: 0.7912000000000006
Processed Iteration 1250,episodic return 983.3337036230893, reward_pressure: 0.7711999999999992
Processed Iteration 1300,episodic return 931.7923446626279, reward_pressure: 0.7511999999999996
Processed Iteration 1350,episodic return 1025.1924962205107, reward_pressure: 0.7311999999999993
Processed Iteration 1400,episodic return 968.8602677745971, reward_pressure: 0.7111999999999996
Processed Iteration 1450,episodic return 1002.5006524806372, reward_pressure: 0.6911999999999996
Processed Iteration 1500,episodic return 988.5231164866531, reward_pressure: 0.6711999999999998
Processed Iteration 1550,episodic return 1013.4213842245756, reward_pressure: 0.6512000000000002
Processed Iteration 1600,episodic return 1024.1707427294405, reward_pressure: 0.6312000000000005
Processed Iteration 1650,episodic return 1032.232906287659, reward_pressure: 0.6112000000000003
Processed Iteration 1700,episodic return 1049.7054917180692, reward_pressure: 0.5911999999999991
Processed Iteration 1750,episodic return 1053.4690993312877, reward_pressure: 0.5711999999999994
Processed Iteration 1800,episodic return 1026.5219060482464, reward_pressure: 0.5511999999999992
Processed Iteration 1850,episodic return 1029.052959632571, reward_pressure: 0.5311999999999995
Processed Iteration 1900,episodic return 1040.0697686971391, reward_pressure: 0.5111999999999998
Processed Iteration 1950,episodic return 1030.4059057243937, reward_pressure: 0.49120000000000014
Processed Iteration 2000,episodic return 1008.6751699833238, reward_pressure: 0.4712000000000001
