Processed Iteration 50,episodic return 110.10884556185674, reward_pressure: 1.0
Processed Iteration 100,episodic return 1318.8987963337527, reward_pressure: 1.0
Processed Iteration 150,episodic return 1757.7455304154469, reward_pressure: 1.0
Processed Iteration 200,episodic return 2173.638270345633, reward_pressure: 1.0
Processed Iteration 250,episodic return 2059.006201197554, reward_pressure: 1.0
Processed Iteration 300,episodic return 2405.9123192493416, reward_pressure: 0.995
Processed Iteration 350,episodic return 2496.546134882637, reward_pressure: 1.0
Processed Iteration 400,episodic return 2660.7074829624416, reward_pressure: 1.0
Processed Iteration 450,episodic return 2636.3975885704795, reward_pressure: 0.9720000000000009
Processed Iteration 500,episodic return 2629.0473226022987, reward_pressure: 0.921999999999999
Processed Iteration 550,episodic return 2914.242451895167, reward_pressure: 0.8720000000000008
Processed Iteration 600,episodic return 2992.592928846175, reward_pressure: 0.8219999999999996
Processed Iteration 650,episodic return 2842.1210842219066, reward_pressure: 0.772
Processed Iteration 700,episodic return 2865.054061532734, reward_pressure: 0.7219999999999999
Processed Iteration 750,episodic return 2843.4196585977893, reward_pressure: 0.671999999999999
Processed Iteration 800,episodic return 2829.5450461484916, reward_pressure: 0.6889999999999996
Processed Iteration 850,episodic return 2841.442642358785, reward_pressure: 0.748
Processed Iteration 900,episodic return 2930.5023999170685, reward_pressure: 0.7019999999999997
Processed Iteration 950,episodic return 2951.406524748306, reward_pressure: 0.7549999999999996
Processed Iteration 1000,episodic return 3059.1176000780774, reward_pressure: 0.794
Processed Iteration 1050,episodic return 3093.919411691433, reward_pressure: 0.7440000000000002
Processed Iteration 1100,episodic return 2973.7843965962293, reward_pressure: 0.6939999999999994
Processed Iteration 1150,episodic return 3012.3995354824337, reward_pressure: 0.6639999999999995
Processed Iteration 1200,episodic return 3144.9348073369647, reward_pressure: 0.6859999999999993
Processed Iteration 1250,episodic return 3009.913035096304, reward_pressure: 0.6359999999999999
Processed Iteration 1300,episodic return 3086.1637927720726, reward_pressure: 0.5860000000000002
Processed Iteration 1350,episodic return 2621.3440658452128, reward_pressure: 0.5359999999999997
Processed Iteration 1400,episodic return 3090.0312180222973, reward_pressure: 0.4919999999999998
Processed Iteration 1450,episodic return 3092.2123533308145, reward_pressure: 0.49399999999999983
Processed Iteration 1500,episodic return 3097.2984772417176, reward_pressure: 0.4439999999999993
Processed Iteration 1550,episodic return 3100.77786051771, reward_pressure: 0.3939999999999999
Processed Iteration 1600,episodic return 3081.265349083651, reward_pressure: 0.3439999999999997
Processed Iteration 1650,episodic return 3059.4098826497634, reward_pressure: 0.2939999999999995
Processed Iteration 1700,episodic return 2012.8077493607923, reward_pressure: 0.24399999999999977
Processed Iteration 1750,episodic return 3067.4876808887075, reward_pressure: 0.1939999999999996
Processed Iteration 1800,episodic return 3071.0092599739264, reward_pressure: 0.14399999999999957
Processed Iteration 1850,episodic return 3035.9964059303584, reward_pressure: 0.09399999999999968
Processed Iteration 1900,episodic return 2924.8162906836596, reward_pressure: 0.0439999999999997
Processed Iteration 1950,episodic return 2952.9906657697175, reward_pressure: 0.0
Processed Iteration 2000,episodic return 3054.163479355996, reward_pressure: 0.0
