Processed Iteration 50,episodic return 14.081347857384799, reward_pressure: 1.0
Processed Iteration 100,episodic return 747.3431932658086, reward_pressure: 1.0
Processed Iteration 150,episodic return 1832.7228752506726, reward_pressure: 1.0
Processed Iteration 200,episodic return 2863.7053951181483, reward_pressure: 1.0
Processed Iteration 250,episodic return 3869.5785367919907, reward_pressure: 1.0
Processed Iteration 300,episodic return 4199.084803459297, reward_pressure: 1.0
Processed Iteration 350,episodic return 4296.94814995413, reward_pressure: 0.9987999999999998
Processed Iteration 400,episodic return 4075.6079149824654, reward_pressure: 0.9827999999999996
Processed Iteration 450,episodic return 4357.92189223104, reward_pressure: 1.0
Processed Iteration 500,episodic return 4196.162644671313, reward_pressure: 0.9895999999999989
Processed Iteration 550,episodic return 4291.655521212937, reward_pressure: 0.9696000000000005
Processed Iteration 600,episodic return 4153.338996148207, reward_pressure: 0.9495999999999998
Processed Iteration 650,episodic return 4376.165934474859, reward_pressure: 0.929600000000001
Processed Iteration 700,episodic return 4269.152204577346, reward_pressure: 0.9095999999999994
Processed Iteration 750,episodic return 4212.752699064837, reward_pressure: 0.8896000000000004
Processed Iteration 800,episodic return 4250.105143136635, reward_pressure: 0.8695999999999995
Processed Iteration 850,episodic return 4098.531317459975, reward_pressure: 0.8496000000000007
Processed Iteration 900,episodic return 4187.865568590594, reward_pressure: 0.8296000000000001
Processed Iteration 950,episodic return 4147.51039215156, reward_pressure: 0.8095999999999997
Processed Iteration 1000,episodic return 4129.509341988506, reward_pressure: 0.7896000000000006
Processed Iteration 1050,episodic return 4167.786813184798, reward_pressure: 0.769599999999999
Processed Iteration 1100,episodic return 4273.324099628519, reward_pressure: 0.7495999999999996
Processed Iteration 1150,episodic return 4316.334788495063, reward_pressure: 0.7295999999999994
Processed Iteration 1200,episodic return 4215.043468190916, reward_pressure: 0.7095999999999997
Processed Iteration 1250,episodic return 4250.374027882136, reward_pressure: 0.6895999999999997
Processed Iteration 1300,episodic return 4251.195531928915, reward_pressure: 0.6695999999999998
Processed Iteration 1350,episodic return 4314.092657184776, reward_pressure: 0.6496000000000002
Processed Iteration 1400,episodic return 4361.616113864529, reward_pressure: 0.6296000000000005
Processed Iteration 1450,episodic return 4232.024849243683, reward_pressure: 0.6096000000000004
Processed Iteration 1500,episodic return 4241.257007856987, reward_pressure: 0.589599999999999
Processed Iteration 1550,episodic return 4443.372350877138, reward_pressure: 0.5695999999999993
Processed Iteration 1600,episodic return 4470.059588674269, reward_pressure: 0.5495999999999992
Processed Iteration 1650,episodic return 4498.087234265941, reward_pressure: 0.5295999999999994
Processed Iteration 1700,episodic return 4286.957763808985, reward_pressure: 0.5095999999999998
Processed Iteration 1750,episodic return 4326.369513006884, reward_pressure: 0.48960000000000015
Processed Iteration 1800,episodic return 4051.026062556794, reward_pressure: 0.4696
Processed Iteration 1850,episodic return 4007.310915438096, reward_pressure: 0.44959999999999894
Processed Iteration 1900,episodic return 4275.819517760695, reward_pressure: 0.4295999999999992
Processed Iteration 1950,episodic return 4332.866734636188, reward_pressure: 0.40959999999999913
Processed Iteration 2000,episodic return 4370.514581113519, reward_pressure: 0.38959999999999917
