Processed Iteration 50,episodic return -172.06718950831677, reward_pressure: 0.0
Processed Iteration 100,episodic return 456.0571000030193, reward_pressure: 0.0
Processed Iteration 150,episodic return 1033.1210796492755, reward_pressure: 0.0
Processed Iteration 200,episodic return 1584.373904173007, reward_pressure: 0.0
Processed Iteration 250,episodic return 1682.6092622878712, reward_pressure: 0.0
Processed Iteration 300,episodic return 2013.5442389303653, reward_pressure: 0.0
Processed Iteration 350,episodic return 2121.5936386951967, reward_pressure: 0.0
Processed Iteration 400,episodic return 2143.472750479306, reward_pressure: 0.0
Processed Iteration 450,episodic return 2086.403552297031, reward_pressure: 0.0
Processed Iteration 500,episodic return 2237.1376291300294, reward_pressure: 0.0
Processed Iteration 550,episodic return 2158.1718972125104, reward_pressure: 0.0
Processed Iteration 600,episodic return 2180.7425881857394, reward_pressure: 0.0
Processed Iteration 650,episodic return 2427.1479206479944, reward_pressure: 0.0
Processed Iteration 700,episodic return 2437.290577343171, reward_pressure: 0.0
Processed Iteration 750,episodic return 2480.9729378029415, reward_pressure: 0.0
Processed Iteration 800,episodic return 2548.369182649331, reward_pressure: 0.0
Processed Iteration 850,episodic return 2533.356919723103, reward_pressure: 0.0
Processed Iteration 900,episodic return 2540.899387825338, reward_pressure: 0.0
Processed Iteration 950,episodic return 2445.092262565736, reward_pressure: 0.0
Processed Iteration 1000,episodic return 2453.3532454902975, reward_pressure: 0.0
Processed Iteration 1050,episodic return 2625.7803534859886, reward_pressure: 0.0
Processed Iteration 1100,episodic return 2585.650078324693, reward_pressure: 0.0
Processed Iteration 1150,episodic return 2556.095488873031, reward_pressure: 0.0
Processed Iteration 1200,episodic return 2586.689552269079, reward_pressure: 0.0
Processed Iteration 1250,episodic return 2654.970961562903, reward_pressure: 0.0
Processed Iteration 1300,episodic return 2731.3157487743283, reward_pressure: 0.0
Processed Iteration 1350,episodic return 2690.564579925839, reward_pressure: 0.0
Processed Iteration 1400,episodic return 2733.2568160222577, reward_pressure: 0.0
Processed Iteration 1450,episodic return 2788.8331162199524, reward_pressure: 0.0
Processed Iteration 1500,episodic return 2874.4361503068676, reward_pressure: 0.0
Processed Iteration 1550,episodic return 2810.0973795018344, reward_pressure: 0.0
Processed Iteration 1600,episodic return 2873.754911266007, reward_pressure: 0.0
Processed Iteration 1650,episodic return 2776.2548634439295, reward_pressure: 0.0
Processed Iteration 1700,episodic return 2784.27663722822, reward_pressure: 0.0
Processed Iteration 1750,episodic return 2753.1821905510283, reward_pressure: 0.0
Processed Iteration 1800,episodic return 2879.5087043697117, reward_pressure: 0.0
Processed Iteration 1850,episodic return 2800.7012251137244, reward_pressure: 0.0
Processed Iteration 1900,episodic return 2733.346096868648, reward_pressure: 0.0
Processed Iteration 1950,episodic return 2808.3209063946374, reward_pressure: 0.0
Processed Iteration 2000,episodic return 2789.9047153620845, reward_pressure: 0.0
