Processed Iteration 50,episodic return -87.60019037379783, reward_pressure: 1.0
Processed Iteration 100,episodic return 757.226175317195, reward_pressure: 1.0
Processed Iteration 150,episodic return 1626.6110278614713, reward_pressure: 1.0
Processed Iteration 200,episodic return 1936.6421688007777, reward_pressure: 1.0
Processed Iteration 250,episodic return 1915.1624261861339, reward_pressure: 1.0
Processed Iteration 300,episodic return 1848.5733814030887, reward_pressure: 0.9851999999999991
Processed Iteration 350,episodic return 2046.062812210864, reward_pressure: 0.9652000000000007
Processed Iteration 400,episodic return 2087.6347213819927, reward_pressure: 0.9463999999999999
Processed Iteration 450,episodic return 2440.703663709523, reward_pressure: 0.9936
Processed Iteration 500,episodic return 2619.0452436077107, reward_pressure: 1.0
Processed Iteration 550,episodic return 2691.1251372480024, reward_pressure: 0.9912000000000001
Processed Iteration 600,episodic return 2615.6671670010332, reward_pressure: 0.988799999999999
Processed Iteration 650,episodic return 2597.2389544057255, reward_pressure: 0.9688000000000005
Processed Iteration 700,episodic return 2543.146323647166, reward_pressure: 0.9487999999999999
Processed Iteration 750,episodic return 2576.949389848112, reward_pressure: 0.928800000000001
Processed Iteration 800,episodic return 2694.194619132965, reward_pressure: 0.9087999999999993
Processed Iteration 850,episodic return 2730.3785338207936, reward_pressure: 0.8888000000000004
Processed Iteration 900,episodic return 2660.0572904452342, reward_pressure: 0.8707999999999998
Processed Iteration 950,episodic return 2618.291345701973, reward_pressure: 0.8779999999999998
Processed Iteration 1000,episodic return 2620.2677300211576, reward_pressure: 0.8724000000000003
Processed Iteration 1050,episodic return 2715.5910255359117, reward_pressure: 0.8675999999999995
Processed Iteration 1100,episodic return 2763.6637625097856, reward_pressure: 0.8476000000000005
Processed Iteration 1150,episodic return 2723.264830200392, reward_pressure: 0.8276
Processed Iteration 1200,episodic return 2665.643125501549, reward_pressure: 0.8144000000000002
Processed Iteration 1250,episodic return 2679.575993368365, reward_pressure: 0.8131999999999997
Processed Iteration 1300,episodic return 2748.9584669164965, reward_pressure: 0.7932000000000007
Processed Iteration 1350,episodic return 2704.552924716671, reward_pressure: 0.7731999999999996
Processed Iteration 1400,episodic return 2776.805857578255, reward_pressure: 0.7543999999999993
Processed Iteration 1450,episodic return 2724.4937455812965, reward_pressure: 0.7587999999999991
Processed Iteration 1500,episodic return 2723.705208960314, reward_pressure: 0.7387999999999993
Processed Iteration 1550,episodic return 2630.735416206698, reward_pressure: 0.7187999999999994
Processed Iteration 1600,episodic return 2739.022778242591, reward_pressure: 0.6987999999999995
Processed Iteration 1650,episodic return 2708.478374765808, reward_pressure: 0.6787999999999995
Processed Iteration 1700,episodic return 2636.2414138478784, reward_pressure: 0.6588
Processed Iteration 1750,episodic return 2720.988156674686, reward_pressure: 0.6388000000000004
Processed Iteration 1800,episodic return 2843.2135034340263, reward_pressure: 0.6188000000000001
Processed Iteration 1850,episodic return 2859.0037063631853, reward_pressure: 0.6016000000000004
Processed Iteration 1900,episodic return 2804.9228141100557, reward_pressure: 0.6184000000000002
Processed Iteration 1950,episodic return 2754.7458450556865, reward_pressure: 0.5984000000000002
Processed Iteration 2000,episodic return 2725.0334260945397, reward_pressure: 0.5783999999999992
