Processed Iteration 50,episodic return 21.26711430342318, reward_pressure: 0.0
Processed Iteration 100,episodic return 1164.7692198320706, reward_pressure: 0.0
Processed Iteration 150,episodic return 1791.6802061096241, reward_pressure: 0.0
Processed Iteration 200,episodic return 2035.59211851052, reward_pressure: 0.0
Processed Iteration 250,episodic return 2331.2422616107233, reward_pressure: 0.0
Processed Iteration 300,episodic return 2580.322711665142, reward_pressure: 0.0
Processed Iteration 350,episodic return 2866.053729432808, reward_pressure: 0.0
Processed Iteration 400,episodic return 3004.113377291298, reward_pressure: 0.0
Processed Iteration 450,episodic return 3019.556894407647, reward_pressure: 0.0
Processed Iteration 500,episodic return 3032.3606374467217, reward_pressure: 0.0
Processed Iteration 550,episodic return 3085.94065784564, reward_pressure: 0.0
Processed Iteration 600,episodic return 3160.4991433305668, reward_pressure: 0.0
Processed Iteration 650,episodic return 3028.259558914209, reward_pressure: 0.0
Processed Iteration 700,episodic return 3215.6001450969807, reward_pressure: 0.0
Processed Iteration 750,episodic return 3175.4145903623757, reward_pressure: 0.0
Processed Iteration 800,episodic return 3272.960906956751, reward_pressure: 0.0
Processed Iteration 850,episodic return 3292.971194825156, reward_pressure: 0.0
Processed Iteration 900,episodic return 3392.9487257114256, reward_pressure: 0.0
Processed Iteration 950,episodic return 3411.2381588889216, reward_pressure: 0.0
Processed Iteration 1000,episodic return 3430.649036216919, reward_pressure: 0.0
Processed Iteration 1050,episodic return 3480.8195903583446, reward_pressure: 0.0
Processed Iteration 1100,episodic return 3523.14202777765, reward_pressure: 0.0
Processed Iteration 1150,episodic return 3529.8498969217285, reward_pressure: 0.0
Processed Iteration 1200,episodic return 3493.3667187669757, reward_pressure: 0.0
Processed Iteration 1250,episodic return 3530.97837892389, reward_pressure: 0.0
Processed Iteration 1300,episodic return 3558.5824765602597, reward_pressure: 0.0
Processed Iteration 1350,episodic return 3520.329597743903, reward_pressure: 0.0
Processed Iteration 1400,episodic return 3550.321569273978, reward_pressure: 0.0
Processed Iteration 1450,episodic return 3534.423063677603, reward_pressure: 0.0
Processed Iteration 1500,episodic return 3499.1684722874725, reward_pressure: 0.0
Processed Iteration 1550,episodic return 3491.3354398957786, reward_pressure: 0.0
Processed Iteration 1600,episodic return 3552.3542084144465, reward_pressure: 0.0
Processed Iteration 1650,episodic return 3532.5251772594984, reward_pressure: 0.0
Processed Iteration 1700,episodic return 3542.4710700190863, reward_pressure: 0.0
Processed Iteration 1750,episodic return 3569.2708962503484, reward_pressure: 0.0
Processed Iteration 1800,episodic return 3523.4956761200724, reward_pressure: 0.0
Processed Iteration 1850,episodic return 3484.34732266017, reward_pressure: 0.0
Processed Iteration 1900,episodic return 3522.132140342659, reward_pressure: 0.0
Processed Iteration 1950,episodic return 3535.694917028074, reward_pressure: 0.0
Processed Iteration 2000,episodic return 3549.7524039489003, reward_pressure: 0.0
