Processed Iteration 50,episodic return -3.6754912908037, reward_pressure: 1.0
Processed Iteration 100,episodic return 625.1745059975754, reward_pressure: 1.0
Processed Iteration 150,episodic return 929.9870121812114, reward_pressure: 1.0
Processed Iteration 200,episodic return 1040.1888418975045, reward_pressure: 1.0
Processed Iteration 250,episodic return 1315.5470898190201, reward_pressure: 1.0
Processed Iteration 300,episodic return 1582.19236082427, reward_pressure: 1.0
Processed Iteration 350,episodic return 1845.9726969763888, reward_pressure: 1.0
Processed Iteration 400,episodic return 2003.6382213417467, reward_pressure: 1.0
Processed Iteration 450,episodic return 2258.9261077713886, reward_pressure: 1.0
Processed Iteration 500,episodic return 2360.7361893394727, reward_pressure: 1.0
Processed Iteration 550,episodic return 2402.9053148034163, reward_pressure: 1.0
Processed Iteration 600,episodic return 2440.3030677595734, reward_pressure: 1.0
Processed Iteration 650,episodic return 2480.7946537526955, reward_pressure: 1.0
Processed Iteration 700,episodic return 2553.566904587387, reward_pressure: 1.0
Processed Iteration 750,episodic return 2527.807348635187, reward_pressure: 1.0
Processed Iteration 800,episodic return 2489.1948021065123, reward_pressure: 1.0
Processed Iteration 850,episodic return 2528.044393379547, reward_pressure: 1.0
Processed Iteration 900,episodic return 2525.4657878971216, reward_pressure: 1.0
Processed Iteration 950,episodic return 2492.1951933229952, reward_pressure: 1.0
Processed Iteration 1000,episodic return 2541.5393040281983, reward_pressure: 1.0
Processed Iteration 1050,episodic return 2579.232815677094, reward_pressure: 1.0
Processed Iteration 1100,episodic return 2591.70462114781, reward_pressure: 1.0
Processed Iteration 1150,episodic return 2691.892861863696, reward_pressure: 1.0
Processed Iteration 1200,episodic return 2508.0803313389356, reward_pressure: 1.0
Processed Iteration 1250,episodic return 2615.8577312875664, reward_pressure: 1.0
Processed Iteration 1300,episodic return 2584.322865523899, reward_pressure: 1.0
Processed Iteration 1350,episodic return 2575.879116996697, reward_pressure: 1.0
Processed Iteration 1400,episodic return 2544.1806406839023, reward_pressure: 1.0
Processed Iteration 1450,episodic return 2456.4986687030623, reward_pressure: 1.0
Processed Iteration 1500,episodic return 2594.270591823289, reward_pressure: 1.0
Processed Iteration 1550,episodic return 2623.2334223173293, reward_pressure: 1.0
Processed Iteration 1600,episodic return 2701.3370761605784, reward_pressure: 1.0
Processed Iteration 1650,episodic return 2592.1348141068192, reward_pressure: 1.0
Processed Iteration 1700,episodic return 2553.718817479737, reward_pressure: 1.0
Processed Iteration 1750,episodic return 2645.352495299594, reward_pressure: 1.0
Processed Iteration 1800,episodic return 2646.042304815161, reward_pressure: 1.0
Processed Iteration 1850,episodic return 2634.454078352898, reward_pressure: 1.0
Processed Iteration 1900,episodic return 2579.6797020038753, reward_pressure: 1.0
Processed Iteration 1950,episodic return 2547.3508217298613, reward_pressure: 1.0
Processed Iteration 2000,episodic return 2658.2933103838436, reward_pressure: 1.0
