Processed Iteration 50,episodic return -145.18420313827906, reward_pressure: 1.0
Processed Iteration 100,episodic return 417.2706519054002, reward_pressure: 1.0
Processed Iteration 150,episodic return 982.0768102568588, reward_pressure: 1.0
Processed Iteration 200,episodic return 1676.8142380704758, reward_pressure: 1.0
Processed Iteration 250,episodic return 1886.3628596963033, reward_pressure: 1.0
Processed Iteration 300,episodic return 1967.0764694828258, reward_pressure: 1.0
Processed Iteration 350,episodic return 2061.105371948041, reward_pressure: 1.0
Processed Iteration 400,episodic return 2125.798004642811, reward_pressure: 1.0
Processed Iteration 450,episodic return 2138.226013061331, reward_pressure: 1.0
Processed Iteration 500,episodic return 2170.2470481570926, reward_pressure: 1.0
Processed Iteration 550,episodic return 2325.268874326981, reward_pressure: 1.0
Processed Iteration 600,episodic return 2308.692667307273, reward_pressure: 1.0
Processed Iteration 650,episodic return 2317.078047466375, reward_pressure: 1.0
Processed Iteration 700,episodic return 2352.61844723948, reward_pressure: 1.0
Processed Iteration 750,episodic return 2345.046028799459, reward_pressure: 1.0
Processed Iteration 800,episodic return 2360.370222322733, reward_pressure: 1.0
Processed Iteration 850,episodic return 2261.0423283266327, reward_pressure: 1.0
Processed Iteration 900,episodic return 2246.7292023052123, reward_pressure: 1.0
Processed Iteration 950,episodic return 2235.0840585765586, reward_pressure: 1.0
Processed Iteration 1000,episodic return 2145.1466245635893, reward_pressure: 1.0
Processed Iteration 1050,episodic return 2346.0861672579504, reward_pressure: 1.0
Processed Iteration 1100,episodic return 2369.7752950457175, reward_pressure: 1.0
Processed Iteration 1150,episodic return 2321.1931094121355, reward_pressure: 1.0
Processed Iteration 1200,episodic return 2252.3647626662732, reward_pressure: 1.0
Processed Iteration 1250,episodic return 2251.7156762186223, reward_pressure: 1.0
Processed Iteration 1300,episodic return 2231.6435452565293, reward_pressure: 1.0
Processed Iteration 1350,episodic return 2323.7867046251063, reward_pressure: 1.0
Processed Iteration 1400,episodic return 2292.6181648965785, reward_pressure: 1.0
Processed Iteration 1450,episodic return 2248.6285976567165, reward_pressure: 1.0
Processed Iteration 1500,episodic return 2163.635332517553, reward_pressure: 1.0
Processed Iteration 1550,episodic return 2266.6588208783082, reward_pressure: 1.0
Processed Iteration 1600,episodic return 2281.1895588976704, reward_pressure: 1.0
Processed Iteration 1650,episodic return 2288.4131618221722, reward_pressure: 1.0
Processed Iteration 1700,episodic return 2163.397555321099, reward_pressure: 1.0
Processed Iteration 1750,episodic return 2169.0629537609375, reward_pressure: 1.0
Processed Iteration 1800,episodic return 2293.948426922656, reward_pressure: 1.0
Processed Iteration 1850,episodic return 2191.4179747440853, reward_pressure: 1.0
Processed Iteration 1900,episodic return 2124.930381576287, reward_pressure: 1.0
Processed Iteration 1950,episodic return 2190.590104538476, reward_pressure: 1.0
Processed Iteration 2000,episodic return 2300.51185455643, reward_pressure: 1.0
