Processed Iteration 50,episodic return 10.547570325070756, reward_pressure: 0.0
Processed Iteration 100,episodic return 89.62289484206636, reward_pressure: 0.0
Processed Iteration 150,episodic return 219.61753457196107, reward_pressure: 0.0
Processed Iteration 200,episodic return 252.45905511951148, reward_pressure: 0.0
Processed Iteration 250,episodic return 308.65215520830054, reward_pressure: 0.0
Processed Iteration 300,episodic return 367.2911125176626, reward_pressure: 0.0
Processed Iteration 350,episodic return 393.61254977868805, reward_pressure: 0.0
Processed Iteration 400,episodic return 443.7276530471049, reward_pressure: 0.0
Processed Iteration 450,episodic return 553.6593281785567, reward_pressure: 0.0
Processed Iteration 500,episodic return 611.7586520571425, reward_pressure: 0.0
Processed Iteration 550,episodic return 720.0918650022363, reward_pressure: 0.0
Processed Iteration 600,episodic return 972.146037829949, reward_pressure: 0.0
Processed Iteration 650,episodic return 874.3721674619071, reward_pressure: 0.0
Processed Iteration 700,episodic return 947.2766957219611, reward_pressure: 0.0
Processed Iteration 750,episodic return 794.5685112314708, reward_pressure: 0.0
Processed Iteration 800,episodic return 948.9891389065878, reward_pressure: 0.0
Processed Iteration 850,episodic return 927.4560085695174, reward_pressure: 0.0
Processed Iteration 900,episodic return 954.8073197287199, reward_pressure: 0.0
Processed Iteration 950,episodic return 996.8225621362363, reward_pressure: 0.0
Processed Iteration 1000,episodic return 1177.5061527323146, reward_pressure: 0.0
Processed Iteration 1050,episodic return 1215.9609882078964, reward_pressure: 0.0
Processed Iteration 1100,episodic return 1058.7762471091405, reward_pressure: 0.0
Processed Iteration 1150,episodic return 1155.625057395682, reward_pressure: 0.0
Processed Iteration 1200,episodic return 1018.3610341180502, reward_pressure: 0.0
Processed Iteration 1250,episodic return 1034.1500778047243, reward_pressure: 0.0
Processed Iteration 1300,episodic return 1231.9465066019889, reward_pressure: 0.0
Processed Iteration 1350,episodic return 1160.3258274620673, reward_pressure: 0.0
Processed Iteration 1400,episodic return 1178.0026922754953, reward_pressure: 0.0
Processed Iteration 1450,episodic return 1210.584062009737, reward_pressure: 0.0
Processed Iteration 1500,episodic return 1218.9058059194895, reward_pressure: 0.0
Processed Iteration 1550,episodic return 1222.5896388339224, reward_pressure: 0.0
Processed Iteration 1600,episodic return 1415.8214299591439, reward_pressure: 0.0
Processed Iteration 1650,episodic return 1334.1253075018074, reward_pressure: 0.0
Processed Iteration 1700,episodic return 1168.0372828543843, reward_pressure: 0.0
Processed Iteration 1750,episodic return 1281.5336077420247, reward_pressure: 0.0
Processed Iteration 1800,episodic return 1355.7166751006284, reward_pressure: 0.0
Processed Iteration 1850,episodic return 1333.966223998341, reward_pressure: 0.0
Processed Iteration 1900,episodic return 1470.244098343723, reward_pressure: 0.0
Processed Iteration 1950,episodic return 1371.66320337127, reward_pressure: 0.0
Processed Iteration 2000,episodic return 1351.1069356640398, reward_pressure: 0.0
Processed Iteration 2050,episodic return 1386.5549754657475, reward_pressure: 0.0
Processed Iteration 2100,episodic return 1610.1310568072288, reward_pressure: 0.0
Processed Iteration 2150,episodic return 1721.0484261678873, reward_pressure: 0.0
Processed Iteration 2200,episodic return 1443.0333768751216, reward_pressure: 0.0
Processed Iteration 2250,episodic return 2020.8826505490706, reward_pressure: 0.0
Processed Iteration 2300,episodic return 2165.649932417022, reward_pressure: 0.0
Processed Iteration 2350,episodic return 2350.29628774896, reward_pressure: 0.0
Processed Iteration 2400,episodic return 2406.1595689221926, reward_pressure: 0.0
Processed Iteration 2450,episodic return 2281.59077953992, reward_pressure: 0.0
Processed Iteration 2500,episodic return 2485.226762136938, reward_pressure: 0.0
Processed Iteration 2550,episodic return 2269.4881061601104, reward_pressure: 0.0
Processed Iteration 2600,episodic return 1892.6834959480807, reward_pressure: 0.0
Processed Iteration 2650,episodic return 2394.458767094269, reward_pressure: 0.0
Processed Iteration 2700,episodic return 2292.741858513496, reward_pressure: 0.0
Processed Iteration 2750,episodic return 2680.332451619304, reward_pressure: 0.0
Processed Iteration 2800,episodic return 2701.9277789899656, reward_pressure: 0.0
Processed Iteration 2850,episodic return 2569.8809267233687, reward_pressure: 0.0
Processed Iteration 2900,episodic return 2659.943106623196, reward_pressure: 0.0
Processed Iteration 2950,episodic return 2787.1256389773216, reward_pressure: 0.0
Processed Iteration 3000,episodic return 2777.1427974211997, reward_pressure: 0.0
