Processed Iteration 50,episodic return 150.7586294691678, reward_pressure: 1.0
Processed Iteration 100,episodic return 413.7692608446263, reward_pressure: 1.0
Processed Iteration 150,episodic return 893.6986144879749, reward_pressure: 1.0
Processed Iteration 200,episodic return 1007.5662005841008, reward_pressure: 0.9883999999999991
Processed Iteration 250,episodic return 1038.241747507555, reward_pressure: 0.9684000000000006
Processed Iteration 300,episodic return 1061.1520204786732, reward_pressure: 0.9795999999999991
Processed Iteration 350,episodic return 1075.1255333413596, reward_pressure: 0.9759999999999991
Processed Iteration 400,episodic return 1078.5788366110546, reward_pressure: 0.9644000000000007
Processed Iteration 450,episodic return 1081.2854578845102, reward_pressure: 0.9443999999999997
Processed Iteration 500,episodic return 1081.5381066240193, reward_pressure: 0.924400000000001
Processed Iteration 550,episodic return 1083.0183676484994, reward_pressure: 0.9043999999999991
Processed Iteration 600,episodic return 1082.933817509545, reward_pressure: 0.8844000000000003
Processed Iteration 650,episodic return 1083.720283315444, reward_pressure: 0.8643999999999995
Processed Iteration 700,episodic return 1083.0246159266178, reward_pressure: 0.8444000000000006
Processed Iteration 750,episodic return 1083.0276520480827, reward_pressure: 0.8244000000000001
Processed Iteration 800,episodic return 1082.4349315570792, reward_pressure: 0.8043999999999998
Processed Iteration 850,episodic return 1081.4340934782617, reward_pressure: 0.7844000000000004
Processed Iteration 900,episodic return 1080.3051362136118, reward_pressure: 0.7643999999999987
Processed Iteration 950,episodic return 1079.3430560124784, reward_pressure: 0.7443999999999997
Processed Iteration 1000,episodic return 1078.5458942653954, reward_pressure: 0.7243999999999992
Processed Iteration 1050,episodic return 1079.8780567888869, reward_pressure: 0.7043999999999997
Processed Iteration 1100,episodic return 1079.0170464449454, reward_pressure: 0.6843999999999997
Processed Iteration 1150,episodic return 1079.6197215399047, reward_pressure: 0.6644
Processed Iteration 1200,episodic return 1080.7740863079907, reward_pressure: 0.6444000000000003
Processed Iteration 1250,episodic return 1080.5888786958324, reward_pressure: 0.6244000000000002
Processed Iteration 1300,episodic return 1083.1439248574457, reward_pressure: 0.6044000000000004
Processed Iteration 1350,episodic return 1083.4815291028399, reward_pressure: 0.5843999999999991
Processed Iteration 1400,episodic return 1084.07895158043, reward_pressure: 0.564399999999999
Processed Iteration 1450,episodic return 1085.3961073661524, reward_pressure: 0.5443999999999992
Processed Iteration 1500,episodic return 1086.1156063245833, reward_pressure: 0.5243999999999995
Processed Iteration 1550,episodic return 1086.4422970658843, reward_pressure: 0.5044
Processed Iteration 1600,episodic return 1086.2407819253626, reward_pressure: 0.4844000000000001
Processed Iteration 1650,episodic return 1085.4915268691589, reward_pressure: 0.46439999999999976
Processed Iteration 1700,episodic return 1086.0153678956024, reward_pressure: 0.44439999999999896
Processed Iteration 1750,episodic return 1086.615557963895, reward_pressure: 0.4243999999999994
Processed Iteration 1800,episodic return 1087.0671416409275, reward_pressure: 0.4043999999999989
Processed Iteration 1850,episodic return 1086.180944411003, reward_pressure: 0.38439999999999913
Processed Iteration 1900,episodic return 1086.0654777278141, reward_pressure: 0.3643999999999994
Processed Iteration 1950,episodic return 1091.1129735158395, reward_pressure: 0.34439999999999976
Processed Iteration 2000,episodic return 1122.5059817777553, reward_pressure: 0.3895999999999995
Processed Iteration 2050,episodic return 1195.8686678306271, reward_pressure: 0.5575999999999993
Processed Iteration 2100,episodic return 1264.8164309027989, reward_pressure: 0.701199999999999
Processed Iteration 2150,episodic return 1378.8809757777517, reward_pressure: 0.8652000000000005
Processed Iteration 2200,episodic return 1413.8920773548434, reward_pressure: 0.9107999999999996
Processed Iteration 2250,episodic return 1487.8338082336988, reward_pressure: 0.8908000000000004
Processed Iteration 2300,episodic return 1367.481424779813, reward_pressure: 0.8999999999999991
Processed Iteration 2350,episodic return 1331.8428117491637, reward_pressure: 0.8800000000000001
Processed Iteration 2400,episodic return 1323.3039231659639, reward_pressure: 0.8599999999999995
Processed Iteration 2450,episodic return 1296.56389137016, reward_pressure: 0.8400000000000005
Processed Iteration 2500,episodic return 1412.8314542826772, reward_pressure: 0.8395999999999998
Processed Iteration 2550,episodic return 1524.291059865346, reward_pressure: 0.8552000000000004
Processed Iteration 2600,episodic return 1634.816497035752, reward_pressure: 0.8351999999999999
Processed Iteration 2650,episodic return 1835.9325243668522, reward_pressure: 0.8552000000000003
Processed Iteration 2700,episodic return 1975.5979978271948, reward_pressure: 0.9484000000000005
Processed Iteration 2750,episodic return 2001.2349643738123, reward_pressure: 0.9608
Processed Iteration 2800,episodic return 1763.67929506581, reward_pressure: 0.9975999999999996
Processed Iteration 2850,episodic return 1742.101033483156, reward_pressure: 0.9775999999999996
Processed Iteration 2900,episodic return 1627.5142571255644, reward_pressure: 0.9576000000000003
Processed Iteration 2950,episodic return 1780.583683542237, reward_pressure: 0.9376000000000001
Processed Iteration 3000,episodic return 1913.0104097476171, reward_pressure: 0.9176000000000006
