Processed Iteration 50,episodic return 83.14030282656506, reward_pressure: 0.0
Processed Iteration 100,episodic return 291.3542962366584, reward_pressure: 0.0
Processed Iteration 150,episodic return 355.32199347952366, reward_pressure: 0.0
Processed Iteration 200,episodic return 529.8916063224332, reward_pressure: 0.0
Processed Iteration 250,episodic return 561.3343917845818, reward_pressure: 0.0
Processed Iteration 300,episodic return 752.3511743954592, reward_pressure: 0.0
Processed Iteration 350,episodic return 1035.9988317269354, reward_pressure: 0.0
Processed Iteration 400,episodic return 1314.0590496615123, reward_pressure: 0.0
Processed Iteration 450,episodic return 1503.635624951237, reward_pressure: 0.0
Processed Iteration 500,episodic return 1554.6821148617084, reward_pressure: 0.0
Processed Iteration 550,episodic return 1488.0683927825605, reward_pressure: 0.0
Processed Iteration 600,episodic return 1457.9266632392435, reward_pressure: 0.0
Processed Iteration 650,episodic return 1348.6154926490779, reward_pressure: 0.0
Processed Iteration 700,episodic return 1141.1142302669393, reward_pressure: 0.0
Processed Iteration 750,episodic return 1306.9533407516392, reward_pressure: 0.0
Processed Iteration 800,episodic return 1335.3607616991917, reward_pressure: 0.0
Processed Iteration 850,episodic return 1357.3508875142277, reward_pressure: 0.0
Processed Iteration 900,episodic return 1360.2455294008025, reward_pressure: 0.0
Processed Iteration 950,episodic return 1355.2443091783034, reward_pressure: 0.0
Processed Iteration 1000,episodic return 1445.6599896366786, reward_pressure: 0.0
Processed Iteration 1050,episodic return 1476.891073546064, reward_pressure: 0.0
Processed Iteration 1100,episodic return 1378.887428989849, reward_pressure: 0.0
Processed Iteration 1150,episodic return 1464.5556378078538, reward_pressure: 0.0
Processed Iteration 1200,episodic return 1468.9430921098951, reward_pressure: 0.0
Processed Iteration 1250,episodic return 1451.817194020738, reward_pressure: 0.0
Processed Iteration 1300,episodic return 1228.2843690112045, reward_pressure: 0.0
Processed Iteration 1350,episodic return 1099.7941496913706, reward_pressure: 0.0
Processed Iteration 1400,episodic return 1134.586184267026, reward_pressure: 0.0
Processed Iteration 1450,episodic return 1226.535379095219, reward_pressure: 0.0
Processed Iteration 1500,episodic return 1187.2545870614695, reward_pressure: 0.0
Processed Iteration 1550,episodic return 1211.562240528796, reward_pressure: 0.0
Processed Iteration 1600,episodic return 1110.3674457822342, reward_pressure: 0.0
Processed Iteration 1650,episodic return 1152.904196449485, reward_pressure: 0.0
Processed Iteration 1700,episodic return 1207.1068475572972, reward_pressure: 0.0
Processed Iteration 1750,episodic return 1120.7394973860896, reward_pressure: 0.0
Processed Iteration 1800,episodic return 936.3177453626558, reward_pressure: 0.0
Processed Iteration 1850,episodic return 918.7154915895342, reward_pressure: 0.0
Processed Iteration 1900,episodic return 1030.092568802549, reward_pressure: 0.0
Processed Iteration 1950,episodic return 1149.402350374601, reward_pressure: 0.0
Processed Iteration 2000,episodic return 894.2698757517054, reward_pressure: 0.0
Processed Iteration 2050,episodic return 883.0917035418887, reward_pressure: 0.0
Processed Iteration 2100,episodic return 1205.6533465609737, reward_pressure: 0.0
Processed Iteration 2150,episodic return 1117.0227283019897, reward_pressure: 0.0
Processed Iteration 2200,episodic return 1110.2952619790435, reward_pressure: 0.0
Processed Iteration 2250,episodic return 1258.845671834274, reward_pressure: 0.0
Processed Iteration 2300,episodic return 1296.4184595682184, reward_pressure: 0.0
Processed Iteration 2350,episodic return 1481.3670378222037, reward_pressure: 0.0
Processed Iteration 2400,episodic return 1567.9021264019216, reward_pressure: 0.0
Processed Iteration 2450,episodic return 1538.51450041859, reward_pressure: 0.0
Processed Iteration 2500,episodic return 1571.1352861235782, reward_pressure: 0.0
Processed Iteration 2550,episodic return 1605.7130647906554, reward_pressure: 0.0
Processed Iteration 2600,episodic return 1387.9791136832166, reward_pressure: 0.0
Processed Iteration 2650,episodic return 1538.452452086237, reward_pressure: 0.0
Processed Iteration 2700,episodic return 1560.1682261938963, reward_pressure: 0.0
Processed Iteration 2750,episodic return 1382.3492737809495, reward_pressure: 0.0
Processed Iteration 2800,episodic return 1481.1138669268812, reward_pressure: 0.0
Processed Iteration 2850,episodic return 1637.6398548040263, reward_pressure: 0.0
Processed Iteration 2900,episodic return 1646.516729179806, reward_pressure: 0.0
Processed Iteration 2950,episodic return 1520.6820331525848, reward_pressure: 0.0
Processed Iteration 3000,episodic return 1591.0978633076404, reward_pressure: 0.0
