Processed Iteration 50,episodic return 114.15264117351184, reward_pressure: 1.0
Processed Iteration 100,episodic return 289.4831121336446, reward_pressure: 1.0
Processed Iteration 150,episodic return 744.0099739988037, reward_pressure: 1.0
Processed Iteration 200,episodic return 1046.9932283292221, reward_pressure: 1.0
Processed Iteration 250,episodic return 1049.8464545698778, reward_pressure: 1.0
Processed Iteration 300,episodic return 1051.3191022402593, reward_pressure: 1.0
Processed Iteration 350,episodic return 1068.5063299391875, reward_pressure: 1.0
Processed Iteration 400,episodic return 1076.324856101479, reward_pressure: 1.0
Processed Iteration 450,episodic return 1080.0713339353706, reward_pressure: 1.0
Processed Iteration 500,episodic return 1080.9420956319955, reward_pressure: 1.0
Processed Iteration 550,episodic return 1081.6065875007537, reward_pressure: 1.0
Processed Iteration 600,episodic return 1081.1486651104433, reward_pressure: 1.0
Processed Iteration 650,episodic return 1082.1630273009434, reward_pressure: 1.0
Processed Iteration 700,episodic return 1082.7361783227548, reward_pressure: 1.0
Processed Iteration 750,episodic return 1082.8715054249883, reward_pressure: 1.0
Processed Iteration 800,episodic return 1082.4445612176644, reward_pressure: 1.0
Processed Iteration 850,episodic return 1083.7756372065755, reward_pressure: 1.0
Processed Iteration 900,episodic return 1083.0568010366953, reward_pressure: 1.0
Processed Iteration 950,episodic return 1081.845990819981, reward_pressure: 1.0
Processed Iteration 1000,episodic return 1082.06564490335, reward_pressure: 1.0
Processed Iteration 1050,episodic return 1082.4032738429714, reward_pressure: 1.0
Processed Iteration 1100,episodic return 1082.4028689343097, reward_pressure: 1.0
Processed Iteration 1150,episodic return 1082.4742221188012, reward_pressure: 1.0
Processed Iteration 1200,episodic return 1082.215925203738, reward_pressure: 1.0
Processed Iteration 1250,episodic return 1083.2853550539505, reward_pressure: 1.0
Processed Iteration 1300,episodic return 1083.495712619265, reward_pressure: 1.0
Processed Iteration 1350,episodic return 1084.5866878131224, reward_pressure: 1.0
Processed Iteration 1400,episodic return 1085.887601881519, reward_pressure: 1.0
Processed Iteration 1450,episodic return 1086.3642895029068, reward_pressure: 1.0
Processed Iteration 1500,episodic return 1085.9550702365925, reward_pressure: 1.0
Processed Iteration 1550,episodic return 1082.1816120898743, reward_pressure: 1.0
Processed Iteration 1600,episodic return 1084.0710438838955, reward_pressure: 1.0
Processed Iteration 1650,episodic return 1085.0884934169553, reward_pressure: 1.0
Processed Iteration 1700,episodic return 1084.073013462496, reward_pressure: 1.0
Processed Iteration 1750,episodic return 1082.069385476256, reward_pressure: 1.0
Processed Iteration 1800,episodic return 1083.417402315001, reward_pressure: 1.0
Processed Iteration 1850,episodic return 1083.009367512045, reward_pressure: 1.0
Processed Iteration 1900,episodic return 1081.8766561185441, reward_pressure: 1.0
Processed Iteration 1950,episodic return 1082.398920800164, reward_pressure: 1.0
Processed Iteration 2000,episodic return 1079.712544479772, reward_pressure: 1.0
Processed Iteration 2050,episodic return 1080.598098210242, reward_pressure: 1.0
Processed Iteration 2100,episodic return 1080.0492467819124, reward_pressure: 1.0
Processed Iteration 2150,episodic return 1079.711965887475, reward_pressure: 1.0
Processed Iteration 2200,episodic return 1080.052310903605, reward_pressure: 1.0
Processed Iteration 2250,episodic return 1081.7956889231114, reward_pressure: 1.0
Processed Iteration 2300,episodic return 1083.8548649595239, reward_pressure: 1.0
Processed Iteration 2350,episodic return 1083.6393731553412, reward_pressure: 1.0
Processed Iteration 2400,episodic return 1084.809377377178, reward_pressure: 1.0
Processed Iteration 2450,episodic return 1084.275670991567, reward_pressure: 1.0
Processed Iteration 2500,episodic return 1085.6204932115972, reward_pressure: 1.0
Processed Iteration 2550,episodic return 1087.0176453387342, reward_pressure: 1.0
Processed Iteration 2600,episodic return 1088.4107130717096, reward_pressure: 1.0
Processed Iteration 2650,episodic return 1087.5384075137267, reward_pressure: 1.0
Processed Iteration 2700,episodic return 1087.2963339509938, reward_pressure: 1.0
Processed Iteration 2750,episodic return 1086.6414631752525, reward_pressure: 1.0
Processed Iteration 2800,episodic return 1087.8541992521584, reward_pressure: 1.0
Processed Iteration 2850,episodic return 1088.2770901599583, reward_pressure: 1.0
Processed Iteration 2900,episodic return 1088.7650065093858, reward_pressure: 1.0
Processed Iteration 2950,episodic return 1088.7412720912187, reward_pressure: 1.0
Processed Iteration 3000,episodic return 1086.782261081747, reward_pressure: 1.0
