Processed Iteration 50,episodic return 55.71268197346388, reward_pressure: 0.0
Processed Iteration 100,episodic return 42.46946366318544, reward_pressure: 0.0
Processed Iteration 150,episodic return 38.589077152277326, reward_pressure: 0.0
Processed Iteration 200,episodic return 36.31865103759556, reward_pressure: 0.0
Processed Iteration 250,episodic return 35.57415367486622, reward_pressure: 0.0
Processed Iteration 300,episodic return 35.359236501629255, reward_pressure: 0.0
Processed Iteration 350,episodic return 44.85292113151117, reward_pressure: 0.0
Processed Iteration 400,episodic return 53.68436454539578, reward_pressure: 0.0
Processed Iteration 450,episodic return 51.64809877979732, reward_pressure: 0.0
Processed Iteration 500,episodic return 49.679345622246466, reward_pressure: 0.0
Processed Iteration 550,episodic return 53.52852799785865, reward_pressure: 0.0
Processed Iteration 600,episodic return 48.197315600948265, reward_pressure: 0.0
Processed Iteration 650,episodic return 52.3793512475929, reward_pressure: 0.0
Processed Iteration 700,episodic return 51.51702414403488, reward_pressure: 0.0
Processed Iteration 750,episodic return 52.635357546229805, reward_pressure: 0.0
Processed Iteration 800,episodic return 53.34726016437672, reward_pressure: 0.0
Processed Iteration 850,episodic return 47.76851055961616, reward_pressure: 0.0
Processed Iteration 900,episodic return 43.68327198555784, reward_pressure: 0.0
Processed Iteration 950,episodic return 51.30868657864877, reward_pressure: 0.0
Processed Iteration 1000,episodic return 55.20662289281095, reward_pressure: 0.0
Processed Iteration 1050,episodic return 56.8666768377662, reward_pressure: 0.0
Processed Iteration 1100,episodic return 54.03667559250847, reward_pressure: 0.0
Processed Iteration 1150,episodic return 53.65858624455707, reward_pressure: 0.0
Processed Iteration 1200,episodic return 50.08966395935917, reward_pressure: 0.0
Processed Iteration 1250,episodic return 44.22778524386451, reward_pressure: 0.0
Processed Iteration 1300,episodic return 40.97994054918623, reward_pressure: 0.0
Processed Iteration 1350,episodic return 45.21527577141744, reward_pressure: 0.0
Processed Iteration 1400,episodic return 48.95886823155778, reward_pressure: 0.0
Processed Iteration 1450,episodic return 49.87573623368117, reward_pressure: 0.0
Processed Iteration 1500,episodic return 49.502084660738, reward_pressure: 0.0
Processed Iteration 1550,episodic return 49.29303732533686, reward_pressure: 0.0
Processed Iteration 1600,episodic return 50.37485919674149, reward_pressure: 0.0
Processed Iteration 1650,episodic return 49.32182540643368, reward_pressure: 0.0
Processed Iteration 1700,episodic return 48.784398580967064, reward_pressure: 0.0
Processed Iteration 1750,episodic return 45.98750775967449, reward_pressure: 0.0
Processed Iteration 1800,episodic return 47.93154335360486, reward_pressure: 0.0
Processed Iteration 1850,episodic return 46.74293940745393, reward_pressure: 0.0
Processed Iteration 1900,episodic return 42.79318681271782, reward_pressure: 0.0
Processed Iteration 1950,episodic return 36.1580734565043, reward_pressure: 0.0
Processed Iteration 2000,episodic return 43.22279060629696, reward_pressure: 0.0
