Processed Iteration 50,episodic return 118.99512987366693, reward_pressure: 1.0
Processed Iteration 100,episodic return 144.8445203085415, reward_pressure: 1.0
Processed Iteration 150,episodic return 158.2890844667626, reward_pressure: 1.0
Processed Iteration 200,episodic return 255.68680008839092, reward_pressure: 1.0
Processed Iteration 250,episodic return 290.77640064714797, reward_pressure: 0.9890000000000003
Processed Iteration 300,episodic return 275.83832619018585, reward_pressure: 0.9900000000000005
Processed Iteration 350,episodic return 288.8897585030939, reward_pressure: 0.9399999999999997
Processed Iteration 400,episodic return 290.8363298367976, reward_pressure: 0.8899999999999997
Processed Iteration 450,episodic return 309.5656247546482, reward_pressure: 0.8399999999999999
Processed Iteration 500,episodic return 304.48764798915073, reward_pressure: 0.8420000000000007
Processed Iteration 550,episodic return 374.0747217539563, reward_pressure: 0.8919999999999991
Processed Iteration 600,episodic return 533.4253920117769, reward_pressure: 0.9360000000000006
Processed Iteration 650,episodic return 500.8391667266428, reward_pressure: 0.9470000000000007
Processed Iteration 700,episodic return 496.9994663653371, reward_pressure: 0.914999999999999
Processed Iteration 750,episodic return 510.0452754392122, reward_pressure: 0.865000000000001
Processed Iteration 800,episodic return 819.2472226019269, reward_pressure: 0.8859999999999991
Processed Iteration 850,episodic return 895.9094991030044, reward_pressure: 0.9410000000000005
Processed Iteration 900,episodic return 1142.1854379271897, reward_pressure: 0.9760000000000001
Processed Iteration 950,episodic return 1400.6616190209818, reward_pressure: 0.9990000000000001
Processed Iteration 1000,episodic return 2523.9917146074413, reward_pressure: 0.985
Processed Iteration 1050,episodic return 2025.3788815943904, reward_pressure: 1.0
Processed Iteration 1100,episodic return 2441.9689097667306, reward_pressure: 0.9730000000000009
Processed Iteration 1150,episodic return 1488.909308227812, reward_pressure: 0.9229999999999992
Processed Iteration 1200,episodic return 3594.9027255703363, reward_pressure: 0.9370000000000006
Processed Iteration 1250,episodic return 5371.594019343633, reward_pressure: 0.9699999999999999
Processed Iteration 1300,episodic return 4921.557064405285, reward_pressure: 0.9730000000000009
Processed Iteration 1350,episodic return 3836.6552403117257, reward_pressure: 0.9229999999999992
Processed Iteration 1400,episodic return 6612.563813540868, reward_pressure: 0.8730000000000007
Processed Iteration 1450,episodic return 7014.277587347792, reward_pressure: 0.8229999999999995
Processed Iteration 1500,episodic return 7140.934920896567, reward_pressure: 0.7730000000000001
Processed Iteration 1550,episodic return 7903.2107091320395, reward_pressure: 0.7920000000000005
Processed Iteration 1600,episodic return 7893.184061765578, reward_pressure: 0.8369999999999997
Processed Iteration 1650,episodic return 6578.436481844422, reward_pressure: 0.7870000000000004
Processed Iteration 1700,episodic return 7601.579518869378, reward_pressure: 0.7370000000000002
Processed Iteration 1750,episodic return 8989.727550249414, reward_pressure: 0.6869999999999992
Processed Iteration 1800,episodic return 7914.749560402719, reward_pressure: 0.6369999999999999
Processed Iteration 1850,episodic return 7881.180159857342, reward_pressure: 0.5870000000000002
Processed Iteration 1900,episodic return 9025.254340645439, reward_pressure: 0.5369999999999997
Processed Iteration 1950,episodic return 9356.188502732437, reward_pressure: 0.48699999999999977
Processed Iteration 2000,episodic return 8652.12235035809, reward_pressure: 0.43699999999999917
