Processed Iteration 50,episodic return 89.15226728168413, reward_pressure: 0.0
Processed Iteration 100,episodic return 112.89290122080689, reward_pressure: 0.0
Processed Iteration 150,episodic return 135.61136951885408, reward_pressure: 0.0
Processed Iteration 200,episodic return 149.50931346119978, reward_pressure: 0.0
Processed Iteration 250,episodic return 129.4385789899152, reward_pressure: 0.0
Processed Iteration 300,episodic return 161.4345230637354, reward_pressure: 0.0
Processed Iteration 350,episodic return 160.71833452589178, reward_pressure: 0.0
Processed Iteration 400,episodic return 146.2771896672017, reward_pressure: 0.0
Processed Iteration 450,episodic return 174.53343460467786, reward_pressure: 0.0
Processed Iteration 500,episodic return 130.0676993001599, reward_pressure: 0.0
Processed Iteration 550,episodic return 116.92486787879857, reward_pressure: 0.0
Processed Iteration 600,episodic return 160.26497521883647, reward_pressure: 0.0
Processed Iteration 650,episodic return 171.82354573238933, reward_pressure: 0.0
Processed Iteration 700,episodic return 170.43147075418332, reward_pressure: 0.0
Processed Iteration 750,episodic return 141.31847230421425, reward_pressure: 0.0
Processed Iteration 800,episodic return 139.71067719728123, reward_pressure: 0.0
Processed Iteration 850,episodic return 144.85109182100936, reward_pressure: 0.0
Processed Iteration 900,episodic return 154.1460556013115, reward_pressure: 0.0
Processed Iteration 950,episodic return 136.91632963382725, reward_pressure: 0.0
Processed Iteration 1000,episodic return 133.75053166979643, reward_pressure: 0.0
Processed Iteration 1050,episodic return 108.78944037831657, reward_pressure: 0.0
Processed Iteration 1100,episodic return 122.9433748218623, reward_pressure: 0.0
Processed Iteration 1150,episodic return 116.61883106408881, reward_pressure: 0.0
Processed Iteration 1200,episodic return 146.2596895719599, reward_pressure: 0.0
Processed Iteration 1250,episodic return 127.27368620345739, reward_pressure: 0.0
Processed Iteration 1300,episodic return 102.49253600509057, reward_pressure: 0.0
Processed Iteration 1350,episodic return 127.51058800834782, reward_pressure: 0.0
Processed Iteration 1400,episodic return 127.59068189611787, reward_pressure: 0.0
Processed Iteration 1450,episodic return 127.07814777342247, reward_pressure: 0.0
Processed Iteration 1500,episodic return 109.24646643275439, reward_pressure: 0.0
Processed Iteration 1550,episodic return 116.3028214586589, reward_pressure: 0.0
Processed Iteration 1600,episodic return 103.89080538004225, reward_pressure: 0.0
Processed Iteration 1650,episodic return 117.06198364840434, reward_pressure: 0.0
Processed Iteration 1700,episodic return 112.11941224362992, reward_pressure: 0.0
Processed Iteration 1750,episodic return 110.3306295151392, reward_pressure: 0.0
Processed Iteration 1800,episodic return 85.50667064787099, reward_pressure: 0.0
Processed Iteration 1850,episodic return 74.65602838417726, reward_pressure: 0.0
Processed Iteration 1900,episodic return 74.64082884171822, reward_pressure: 0.0
Processed Iteration 1950,episodic return 74.56067395314875, reward_pressure: 0.0
Processed Iteration 2000,episodic return 76.94446651647614, reward_pressure: 0.0
