Processed Iteration 50,episodic return 104.45742725663084, reward_pressure: 1.0
Processed Iteration 100,episodic return 138.8100468651877, reward_pressure: 1.0
Processed Iteration 150,episodic return 177.5484124334089, reward_pressure: 1.0
Processed Iteration 200,episodic return 159.61521810389746, reward_pressure: 1.0
Processed Iteration 250,episodic return 247.2724325431049, reward_pressure: 1.0
Processed Iteration 300,episodic return 288.8076519150985, reward_pressure: 1.0
Processed Iteration 350,episodic return 310.52048965983516, reward_pressure: 1.0
Processed Iteration 400,episodic return 349.00387361823346, reward_pressure: 1.0
Processed Iteration 450,episodic return 379.9201747631816, reward_pressure: 1.0
Processed Iteration 500,episodic return 324.26906277147697, reward_pressure: 1.0
Processed Iteration 550,episodic return 378.45954865953695, reward_pressure: 1.0
Processed Iteration 600,episodic return 705.7922751797648, reward_pressure: 1.0
Processed Iteration 650,episodic return 811.1221212421244, reward_pressure: 1.0
Processed Iteration 700,episodic return 676.9184578577199, reward_pressure: 1.0
Processed Iteration 750,episodic return 1085.4912439683335, reward_pressure: 1.0
Processed Iteration 800,episodic return 658.5275746872053, reward_pressure: 1.0
Processed Iteration 850,episodic return 2285.2850013133393, reward_pressure: 1.0
Processed Iteration 900,episodic return 1894.6521898951294, reward_pressure: 1.0
Processed Iteration 950,episodic return 864.7431554129471, reward_pressure: 1.0
Processed Iteration 1000,episodic return 1125.841199238076, reward_pressure: 1.0
Processed Iteration 1050,episodic return 1197.8251017051227, reward_pressure: 1.0
Processed Iteration 1100,episodic return 1121.4191631911528, reward_pressure: 1.0
Processed Iteration 1150,episodic return 1338.7410636533562, reward_pressure: 1.0
Processed Iteration 1200,episodic return 1682.4685546485898, reward_pressure: 1.0
Processed Iteration 1250,episodic return 2176.690075463959, reward_pressure: 1.0
Processed Iteration 1300,episodic return 7023.388492014031, reward_pressure: 1.0
Processed Iteration 1350,episodic return 6333.734867210032, reward_pressure: 1.0
Processed Iteration 1400,episodic return 4117.41525053552, reward_pressure: 1.0
Processed Iteration 1450,episodic return 3569.1835725863343, reward_pressure: 1.0
Processed Iteration 1500,episodic return 3843.50822993827, reward_pressure: 1.0
Processed Iteration 1550,episodic return 4953.219752603617, reward_pressure: 1.0
Processed Iteration 1600,episodic return 6939.242736262068, reward_pressure: 1.0
Processed Iteration 1650,episodic return 3441.3445077332294, reward_pressure: 1.0
Processed Iteration 1700,episodic return 1033.4592789157095, reward_pressure: 1.0
Processed Iteration 1750,episodic return 4264.560776481126, reward_pressure: 1.0
Processed Iteration 1800,episodic return 2433.014227634923, reward_pressure: 1.0
Processed Iteration 1850,episodic return 3188.6398970933806, reward_pressure: 1.0
Processed Iteration 1900,episodic return 3801.7487255514793, reward_pressure: 1.0
Processed Iteration 1950,episodic return 5370.632261371099, reward_pressure: 1.0
Processed Iteration 2000,episodic return 4886.465943324794, reward_pressure: 1.0
