Processed Iteration 50,episodic return 15.56, reward_pressure: 0.0
Processed Iteration 100,episodic return 34.24, reward_pressure: 0.0
Processed Iteration 150,episodic return 73.86, reward_pressure: 0.0
Processed Iteration 200,episodic return 236.48, reward_pressure: 0.0
Processed Iteration 250,episodic return 1062.24, reward_pressure: 0.0
Processed Iteration 300,episodic return 1950.78, reward_pressure: 0.0
Processed Iteration 350,episodic return 1826.1, reward_pressure: 0.0
Processed Iteration 400,episodic return 1794.78, reward_pressure: 0.0
Processed Iteration 450,episodic return 1589.16, reward_pressure: 0.0
Processed Iteration 500,episodic return 1394.94, reward_pressure: 0.0
Processed Iteration 550,episodic return 1543.52, reward_pressure: 0.0
Processed Iteration 600,episodic return 1070.96, reward_pressure: 0.0
Processed Iteration 650,episodic return 2653.42, reward_pressure: 0.0
Processed Iteration 700,episodic return 3914.0, reward_pressure: 0.0
Processed Iteration 750,episodic return 4027.5, reward_pressure: 0.0
Processed Iteration 800,episodic return 4855.84, reward_pressure: 0.0
Processed Iteration 850,episodic return 4622.44, reward_pressure: 0.0
Processed Iteration 900,episodic return 4870.9, reward_pressure: 0.0
Processed Iteration 950,episodic return 4733.86, reward_pressure: 0.0
Processed Iteration 1000,episodic return 5000.0, reward_pressure: 0.0
