Processed Iteration 50,episodic return -2.7256992587308195, reward_pressure: 0.0
Processed Iteration 100,episodic return -3.6759289373988007, reward_pressure: 0.0
Processed Iteration 150,episodic return 22.45396485303521, reward_pressure: 0.0
Processed Iteration 200,episodic return 293.55228162889506, reward_pressure: 0.0
Processed Iteration 250,episodic return 555.4451033315299, reward_pressure: 0.0
Processed Iteration 300,episodic return 533.7073309591578, reward_pressure: 0.0
Processed Iteration 350,episodic return 670.2322692800586, reward_pressure: 0.0
Processed Iteration 400,episodic return 770.103716324163, reward_pressure: 0.0
Processed Iteration 450,episodic return 986.5911307816575, reward_pressure: 0.0
Processed Iteration 500,episodic return 1069.645419884183, reward_pressure: 0.0
Processed Iteration 550,episodic return 1196.9176389384247, reward_pressure: 0.0
Processed Iteration 600,episodic return 1261.5691789166083, reward_pressure: 0.0
Processed Iteration 650,episodic return 1161.4196956448286, reward_pressure: 0.0
Processed Iteration 700,episodic return 1317.0332255112555, reward_pressure: 0.0
Processed Iteration 750,episodic return 1301.8310431406105, reward_pressure: 0.0
Processed Iteration 800,episodic return 1313.6952538748856, reward_pressure: 0.0
Processed Iteration 850,episodic return 1356.638236742527, reward_pressure: 0.0
Processed Iteration 900,episodic return 1360.1376515950678, reward_pressure: 0.0
Processed Iteration 950,episodic return 1349.5547946528927, reward_pressure: 0.0
Processed Iteration 1000,episodic return 1292.3045435135355, reward_pressure: 0.0
Processed Iteration 1050,episodic return 1330.1909493304033, reward_pressure: 0.0
Processed Iteration 1100,episodic return 1317.126605448793, reward_pressure: 0.0
Processed Iteration 1150,episodic return 1326.4332159321284, reward_pressure: 0.0
Processed Iteration 1200,episodic return 1414.7430912091668, reward_pressure: 0.0
Processed Iteration 1250,episodic return 1269.4378004047087, reward_pressure: 0.0
Processed Iteration 1300,episodic return 1350.9234860504862, reward_pressure: 0.0
Processed Iteration 1350,episodic return 1354.8760349743802, reward_pressure: 0.0
Processed Iteration 1400,episodic return 1266.399471232045, reward_pressure: 0.0
Processed Iteration 1450,episodic return 1395.7732644617174, reward_pressure: 0.0
Processed Iteration 1500,episodic return 1310.2721730608555, reward_pressure: 0.0
Processed Iteration 1550,episodic return 1361.965851992058, reward_pressure: 0.0
Processed Iteration 1600,episodic return 1478.3350922151478, reward_pressure: 0.0
Processed Iteration 1650,episodic return 1430.5965036611055, reward_pressure: 0.0
Processed Iteration 1700,episodic return 1333.656740522641, reward_pressure: 0.0
Processed Iteration 1750,episodic return 1356.490020163688, reward_pressure: 0.0
Processed Iteration 1800,episodic return 1451.5206595165996, reward_pressure: 0.0
Processed Iteration 1850,episodic return 1377.3399053824132, reward_pressure: 0.0
Processed Iteration 1900,episodic return 1431.37264800235, reward_pressure: 0.0
Processed Iteration 1950,episodic return 1261.0923844190252, reward_pressure: 0.0
Processed Iteration 2000,episodic return 1337.828007425695, reward_pressure: 0.0
