Processed Iteration 50,episodic return 183.89728204968006, reward_pressure: 1.0
Processed Iteration 100,episodic return 539.1794104931142, reward_pressure: 1.0
Processed Iteration 150,episodic return 834.0246858729072, reward_pressure: 0.9928
Processed Iteration 200,episodic return 1121.7353139120114, reward_pressure: 1.0
Processed Iteration 250,episodic return 1209.7774302642924, reward_pressure: 1.0
Processed Iteration 300,episodic return 1306.4875812541814, reward_pressure: 1.0
Processed Iteration 350,episodic return 1295.189382295993, reward_pressure: 0.9923999999999994
Processed Iteration 400,episodic return 1364.8915664924646, reward_pressure: 0.9975999999999996
Processed Iteration 450,episodic return 1399.2849348886125, reward_pressure: 0.9775999999999996
Processed Iteration 500,episodic return 1378.4892408965484, reward_pressure: 0.9924000000000001
Processed Iteration 550,episodic return 1439.4523888404813, reward_pressure: 1.0
Processed Iteration 600,episodic return 1448.2398021617912, reward_pressure: 0.9911999999999989
Processed Iteration 650,episodic return 1460.8728849385743, reward_pressure: 0.9712000000000005
Processed Iteration 700,episodic return 1462.8379196100639, reward_pressure: 0.9511999999999997
Processed Iteration 750,episodic return 1490.536893228703, reward_pressure: 0.9312000000000009
Processed Iteration 800,episodic return 1537.4716504016742, reward_pressure: 0.9599999999999992
Processed Iteration 850,episodic return 1529.4217450951044, reward_pressure: 0.9995999999999999
Processed Iteration 900,episodic return 1546.0602216827706, reward_pressure: 0.9839999999999998
Processed Iteration 950,episodic return 1564.5031220996314, reward_pressure: 0.9959999999999993
Processed Iteration 1000,episodic return 1525.9227049854117, reward_pressure: 0.9928
Processed Iteration 1050,episodic return 1548.258946682242, reward_pressure: 0.987199999999999
Processed Iteration 1100,episodic return 1535.4097576519196, reward_pressure: 0.998
Processed Iteration 1150,episodic return 1489.782889250179, reward_pressure: 0.9819999999999992
Processed Iteration 1200,episodic return 1524.224879495862, reward_pressure: 0.9791999999999992
Processed Iteration 1250,episodic return 1582.2079800792542, reward_pressure: 0.9628000000000008
Processed Iteration 1300,episodic return 1542.3240208061854, reward_pressure: 0.9791999999999992
Processed Iteration 1350,episodic return 1634.7089467462586, reward_pressure: 0.9996
Processed Iteration 1400,episodic return 1684.132828244713, reward_pressure: 0.980399999999999
Processed Iteration 1450,episodic return 1654.250346614123, reward_pressure: 0.9604000000000006
Processed Iteration 1500,episodic return 1722.4917722996934, reward_pressure: 0.9588000000000007
Processed Iteration 1550,episodic return 1708.5604657940244, reward_pressure: 0.9584000000000006
Processed Iteration 1600,episodic return 1738.8745191066876, reward_pressure: 0.9431999999999996
Processed Iteration 1650,episodic return 1688.3048970924217, reward_pressure: 0.9355999999999998
Processed Iteration 1700,episodic return 1750.8863854726712, reward_pressure: 0.9288000000000006
Processed Iteration 1750,episodic return 1750.1607873057612, reward_pressure: 0.9387999999999999
Processed Iteration 1800,episodic return 1732.236384520382, reward_pressure: 0.9188000000000008
Processed Iteration 1850,episodic return 1742.2207652523432, reward_pressure: 0.8987999999999994
Processed Iteration 1900,episodic return 1792.0851468883047, reward_pressure: 0.8787999999999999
Processed Iteration 1950,episodic return 1786.2860184739773, reward_pressure: 0.8587999999999997
Processed Iteration 2000,episodic return 1669.7018637172782, reward_pressure: 0.8388000000000004
