Processed Iteration 50,episodic return 0.8725335541930238, reward_pressure: 0.0
Processed Iteration 100,episodic return 0.8906073126174987, reward_pressure: 0.0
Processed Iteration 150,episodic return -1.3798282184445472, reward_pressure: 0.0
Processed Iteration 200,episodic return -2.4610324754975523, reward_pressure: 0.0
Processed Iteration 250,episodic return 4.773983874757838, reward_pressure: 0.0
Processed Iteration 300,episodic return 11.275119203352867, reward_pressure: 0.0
Processed Iteration 350,episodic return 16.19790926260831, reward_pressure: 0.0
Processed Iteration 400,episodic return 57.64300531695919, reward_pressure: 0.0
Processed Iteration 450,episodic return 365.9488697219083, reward_pressure: 0.0
Processed Iteration 500,episodic return 776.9682230576178, reward_pressure: 0.0
Processed Iteration 550,episodic return 864.2336340816535, reward_pressure: 0.0
Processed Iteration 600,episodic return 837.3350285768678, reward_pressure: 0.0
Processed Iteration 650,episodic return 815.9381271053363, reward_pressure: 0.0
Processed Iteration 700,episodic return 791.7620644176668, reward_pressure: 0.0
Processed Iteration 750,episodic return 841.4170363399016, reward_pressure: 0.0
Processed Iteration 800,episodic return 924.8037688217944, reward_pressure: 0.0
Processed Iteration 850,episodic return 1080.120895705361, reward_pressure: 0.0
Processed Iteration 900,episodic return 1257.0461816181844, reward_pressure: 0.0
Processed Iteration 950,episodic return 1301.4481799902503, reward_pressure: 0.0
Processed Iteration 1000,episodic return 1294.807599380915, reward_pressure: 0.0
Processed Iteration 1050,episodic return 1270.306591157534, reward_pressure: 0.0
Processed Iteration 1100,episodic return 1372.3936291302716, reward_pressure: 0.0
Processed Iteration 1150,episodic return 1306.2879005505501, reward_pressure: 0.0
Processed Iteration 1200,episodic return 1363.3527341249417, reward_pressure: 0.0
Processed Iteration 1250,episodic return 1363.3672006652632, reward_pressure: 0.0
Processed Iteration 1300,episodic return 1400.4286883408963, reward_pressure: 0.0
Processed Iteration 1350,episodic return 1372.2567606982304, reward_pressure: 0.0
Processed Iteration 1400,episodic return 1369.4875078307837, reward_pressure: 0.0
Processed Iteration 1450,episodic return 1408.8085850697005, reward_pressure: 0.0
Processed Iteration 1500,episodic return 1444.8749079013296, reward_pressure: 0.0
Processed Iteration 1550,episodic return 1411.1881917720407, reward_pressure: 0.0
Processed Iteration 1600,episodic return 1381.0555440204862, reward_pressure: 0.0
Processed Iteration 1650,episodic return 1416.725472106379, reward_pressure: 0.0
Processed Iteration 1700,episodic return 1334.1663821625625, reward_pressure: 0.0
Processed Iteration 1750,episodic return 1295.900168513324, reward_pressure: 0.0
Processed Iteration 1800,episodic return 1372.4223475991978, reward_pressure: 0.0
Processed Iteration 1850,episodic return 1361.2123590834642, reward_pressure: 0.0
Processed Iteration 1900,episodic return 1374.8029529349772, reward_pressure: 0.0
Processed Iteration 1950,episodic return 1411.7566296764169, reward_pressure: 0.0
Processed Iteration 2000,episodic return 1351.6707288147786, reward_pressure: 0.0
