Processed Iteration 50,episodic return -3.8247925052314433, reward_pressure: 0.0
Processed Iteration 100,episodic return -4.540629295991864, reward_pressure: 0.0
Processed Iteration 150,episodic return -10.058753613226658, reward_pressure: 0.0
Processed Iteration 200,episodic return -1.824289026037024, reward_pressure: 0.0
Processed Iteration 250,episodic return 26.69323881810798, reward_pressure: 0.0
Processed Iteration 300,episodic return 342.5590272254831, reward_pressure: 0.0
Processed Iteration 350,episodic return 500.73418383576006, reward_pressure: 0.0
Processed Iteration 400,episodic return 467.8157412277887, reward_pressure: 0.0
Processed Iteration 450,episodic return 565.5376571135399, reward_pressure: 0.0
Processed Iteration 500,episodic return 747.9474073550575, reward_pressure: 0.0
Processed Iteration 550,episodic return 779.6877678481293, reward_pressure: 0.0
Processed Iteration 600,episodic return 958.9916530959042, reward_pressure: 0.0
Processed Iteration 650,episodic return 1114.4722352647386, reward_pressure: 0.0
Processed Iteration 700,episodic return 1149.5472968667, reward_pressure: 0.0
Processed Iteration 750,episodic return 1146.822199946403, reward_pressure: 0.0
Processed Iteration 800,episodic return 1115.3093857618621, reward_pressure: 0.0
Processed Iteration 850,episodic return 1201.8507126832073, reward_pressure: 0.0
Processed Iteration 900,episodic return 1258.1074556109616, reward_pressure: 0.0
Processed Iteration 950,episodic return 1304.1794034875866, reward_pressure: 0.0
Processed Iteration 1000,episodic return 1189.4406265171083, reward_pressure: 0.0
Processed Iteration 1050,episodic return 1378.1009775389425, reward_pressure: 0.0
Processed Iteration 1100,episodic return 1237.6892371865883, reward_pressure: 0.0
Processed Iteration 1150,episodic return 1247.0683283892852, reward_pressure: 0.0
Processed Iteration 1200,episodic return 1385.133213940777, reward_pressure: 0.0
Processed Iteration 1250,episodic return 1364.5863918971286, reward_pressure: 0.0
Processed Iteration 1300,episodic return 1416.9223551105554, reward_pressure: 0.0
Processed Iteration 1350,episodic return 1373.7257635382603, reward_pressure: 0.0
Processed Iteration 1400,episodic return 1361.7118858846527, reward_pressure: 0.0
Processed Iteration 1450,episodic return 1392.0386399939837, reward_pressure: 0.0
Processed Iteration 1500,episodic return 1269.687541388519, reward_pressure: 0.0
Processed Iteration 1550,episodic return 1373.994163952394, reward_pressure: 0.0
Processed Iteration 1600,episodic return 1414.557161736693, reward_pressure: 0.0
Processed Iteration 1650,episodic return 1457.2968124594838, reward_pressure: 0.0
Processed Iteration 1700,episodic return 1396.313787230325, reward_pressure: 0.0
Processed Iteration 1750,episodic return 1368.0948404878377, reward_pressure: 0.0
Processed Iteration 1800,episodic return 1444.0442521022449, reward_pressure: 0.0
Processed Iteration 1850,episodic return 1536.816008099681, reward_pressure: 0.0
Processed Iteration 1900,episodic return 1503.549657286965, reward_pressure: 0.0
Processed Iteration 1950,episodic return 1501.7459885874935, reward_pressure: 0.0
Processed Iteration 2000,episodic return 1411.4067495267132, reward_pressure: 0.0
