Processed Iteration 50,episodic return 57.454171833354366, reward_pressure: 1.0
Processed Iteration 100,episodic return 295.0005942708547, reward_pressure: 1.0
Processed Iteration 150,episodic return 590.7471360829329, reward_pressure: 1.0
Processed Iteration 200,episodic return 956.2661366268685, reward_pressure: 1.0
Processed Iteration 250,episodic return 1076.766218280407, reward_pressure: 1.0
Processed Iteration 300,episodic return 1216.108854231151, reward_pressure: 1.0
Processed Iteration 350,episodic return 1305.1640425008381, reward_pressure: 1.0
Processed Iteration 400,episodic return 1279.5530038715258, reward_pressure: 1.0
Processed Iteration 450,episodic return 1362.1028295036263, reward_pressure: 0.989999999999999
Processed Iteration 500,episodic return 1335.0057502616025, reward_pressure: 0.9700000000000005
Processed Iteration 550,episodic return 1373.6153254339827, reward_pressure: 0.9499999999999997
Processed Iteration 600,episodic return 1325.3886110351523, reward_pressure: 0.9324000000000003
Processed Iteration 650,episodic return 1452.3726268556684, reward_pressure: 0.9584000000000006
Processed Iteration 700,episodic return 1502.3755515260348, reward_pressure: 0.9503999999999999
Processed Iteration 750,episodic return 1889.769117046, reward_pressure: 0.9992
Processed Iteration 800,episodic return 2081.4991661069766, reward_pressure: 1.0
Processed Iteration 850,episodic return 2305.4424939615365, reward_pressure: 1.0
Processed Iteration 900,episodic return 2416.371546818206, reward_pressure: 1.0
Processed Iteration 950,episodic return 2503.1554797716954, reward_pressure: 0.9939999999999991
Processed Iteration 1000,episodic return 2508.3990411768677, reward_pressure: 0.9740000000000003
Processed Iteration 1050,episodic return 2601.3442192690463, reward_pressure: 0.9779999999999995
Processed Iteration 1100,episodic return 2573.559500731225, reward_pressure: 0.9975999999999996
Processed Iteration 1150,episodic return 2594.9173438989033, reward_pressure: 0.9775999999999996
Processed Iteration 1200,episodic return 2606.890262232847, reward_pressure: 0.9731999999999992
Processed Iteration 1250,episodic return 2385.76960921677, reward_pressure: 0.9992
Processed Iteration 1300,episodic return 2544.2693603817393, reward_pressure: 0.9807999999999991
Processed Iteration 1350,episodic return 2495.463106823054, reward_pressure: 0.9608000000000007
Processed Iteration 1400,episodic return 2465.1153206648664, reward_pressure: 0.9407999999999995
Processed Iteration 1450,episodic return 2528.093712733657, reward_pressure: 0.9208000000000012
Processed Iteration 1500,episodic return 2553.8876260678403, reward_pressure: 0.9007999999999992
Processed Iteration 1550,episodic return 2627.663763496392, reward_pressure: 0.8987999999999993
Processed Iteration 1600,episodic return 2640.882417025606, reward_pressure: 0.8820000000000001
Processed Iteration 1650,episodic return 2617.8801021472286, reward_pressure: 0.8619999999999997
Processed Iteration 1700,episodic return 2639.8732124317903, reward_pressure: 0.8420000000000007
Processed Iteration 1750,episodic return 2516.0997842166826, reward_pressure: 0.8220000000000002
Processed Iteration 1800,episodic return 2724.1847811384364, reward_pressure: 0.8019999999999997
Processed Iteration 1850,episodic return 2690.5747820113793, reward_pressure: 0.7820000000000005
Processed Iteration 1900,episodic return 2835.770346847597, reward_pressure: 0.8084000000000006
Processed Iteration 1950,episodic return 2818.406571192162, reward_pressure: 0.8304
Processed Iteration 2000,episodic return 2712.5416082223, reward_pressure: 0.8103999999999997
