Processed Iteration 50,episodic return 4.481409017212538, reward_pressure: 0.0
Processed Iteration 100,episodic return 2.6289175926059185, reward_pressure: 0.0
Processed Iteration 150,episodic return 4.603542808295386, reward_pressure: 0.0
Processed Iteration 200,episodic return 11.671763530527157, reward_pressure: 0.0
Processed Iteration 250,episodic return 126.04901086979906, reward_pressure: 0.0
Processed Iteration 300,episodic return 288.67601799971436, reward_pressure: 0.0
Processed Iteration 350,episodic return 381.48474582337406, reward_pressure: 0.0
Processed Iteration 400,episodic return 628.8661311675908, reward_pressure: 0.0
Processed Iteration 450,episodic return 597.090337505731, reward_pressure: 0.0
Processed Iteration 500,episodic return 900.7351912661777, reward_pressure: 0.0
Processed Iteration 550,episodic return 1070.7070340214746, reward_pressure: 0.0
Processed Iteration 600,episodic return 1194.2612279327343, reward_pressure: 0.0
Processed Iteration 650,episodic return 1228.6727206599548, reward_pressure: 0.0
Processed Iteration 700,episodic return 1226.2880429492393, reward_pressure: 0.0
Processed Iteration 750,episodic return 1331.4818074979976, reward_pressure: 0.0
Processed Iteration 800,episodic return 1280.1031434626018, reward_pressure: 0.0
Processed Iteration 850,episodic return 1334.4618154323266, reward_pressure: 0.0
Processed Iteration 900,episodic return 1364.0388689397994, reward_pressure: 0.0
Processed Iteration 950,episodic return 1341.8196090982779, reward_pressure: 0.0
Processed Iteration 1000,episodic return 1331.962525120224, reward_pressure: 0.0
Processed Iteration 1050,episodic return 1384.5965986856493, reward_pressure: 0.0
Processed Iteration 1100,episodic return 1321.5129745453146, reward_pressure: 0.0
Processed Iteration 1150,episodic return 1258.702448215496, reward_pressure: 0.0
Processed Iteration 1200,episodic return 1354.2380052522158, reward_pressure: 0.0
Processed Iteration 1250,episodic return 1397.1900586339743, reward_pressure: 0.0
Processed Iteration 1300,episodic return 1511.4002601573175, reward_pressure: 0.0
Processed Iteration 1350,episodic return 1392.8853717035256, reward_pressure: 0.0
Processed Iteration 1400,episodic return 1385.1657354905492, reward_pressure: 0.0
Processed Iteration 1450,episodic return 1386.767533447983, reward_pressure: 0.0
Processed Iteration 1500,episodic return 1420.7385424307163, reward_pressure: 0.0
Processed Iteration 1550,episodic return 1411.541425325388, reward_pressure: 0.0
Processed Iteration 1600,episodic return 1336.5632483453185, reward_pressure: 0.0
Processed Iteration 1650,episodic return 1367.0147381039199, reward_pressure: 0.0
Processed Iteration 1700,episodic return 1416.049439696829, reward_pressure: 0.0
Processed Iteration 1750,episodic return 1387.669996827524, reward_pressure: 0.0
Processed Iteration 1800,episodic return 1285.7390338636908, reward_pressure: 0.0
Processed Iteration 1850,episodic return 1303.9094540163512, reward_pressure: 0.0
Processed Iteration 1900,episodic return 1297.102555278202, reward_pressure: 0.0
Processed Iteration 1950,episodic return 1353.2286897976255, reward_pressure: 0.0
Processed Iteration 2000,episodic return 1424.2781953587337, reward_pressure: 0.0
