Processed Iteration 50,episodic return 110.02863218183442, reward_pressure: 1.0
Processed Iteration 100,episodic return 305.9652047631326, reward_pressure: 1.0
Processed Iteration 150,episodic return 612.0730714389575, reward_pressure: 1.0
Processed Iteration 200,episodic return 920.1441832341998, reward_pressure: 1.0
Processed Iteration 250,episodic return 1068.7101291053034, reward_pressure: 1.0
Processed Iteration 300,episodic return 1185.3045912514776, reward_pressure: 1.0
Processed Iteration 350,episodic return 1231.3523125811084, reward_pressure: 1.0
Processed Iteration 400,episodic return 1216.2916561494226, reward_pressure: 1.0
Processed Iteration 450,episodic return 1189.6198497274418, reward_pressure: 1.0
Processed Iteration 500,episodic return 1291.1590345306156, reward_pressure: 1.0
Processed Iteration 550,episodic return 1272.6979867450204, reward_pressure: 1.0
Processed Iteration 600,episodic return 1303.1148337947614, reward_pressure: 1.0
Processed Iteration 650,episodic return 1326.8979324464017, reward_pressure: 1.0
Processed Iteration 700,episodic return 1248.5971355936226, reward_pressure: 1.0
Processed Iteration 750,episodic return 1279.4526681266864, reward_pressure: 1.0
Processed Iteration 800,episodic return 1306.6089163054512, reward_pressure: 1.0
Processed Iteration 850,episodic return 1180.2351822782405, reward_pressure: 1.0
Processed Iteration 900,episodic return 1234.21328047117, reward_pressure: 1.0
Processed Iteration 950,episodic return 1274.1815394057191, reward_pressure: 1.0
Processed Iteration 1000,episodic return 1284.6074719648548, reward_pressure: 1.0
Processed Iteration 1050,episodic return 1314.497716347187, reward_pressure: 1.0
Processed Iteration 1100,episodic return 1248.0917826763712, reward_pressure: 1.0
Processed Iteration 1150,episodic return 1231.8136334874796, reward_pressure: 1.0
Processed Iteration 1200,episodic return 1311.4456369516906, reward_pressure: 1.0
Processed Iteration 1250,episodic return 1342.4337340699524, reward_pressure: 1.0
Processed Iteration 1300,episodic return 1307.7407888936737, reward_pressure: 1.0
Processed Iteration 1350,episodic return 1400.7352998799613, reward_pressure: 1.0
Processed Iteration 1400,episodic return 1322.187905747641, reward_pressure: 1.0
Processed Iteration 1450,episodic return 1335.7116392525506, reward_pressure: 1.0
Processed Iteration 1500,episodic return 1303.9669184083282, reward_pressure: 1.0
Processed Iteration 1550,episodic return 1352.2077258582337, reward_pressure: 1.0
Processed Iteration 1600,episodic return 1386.114307901221, reward_pressure: 1.0
Processed Iteration 1650,episodic return 1207.2343276442107, reward_pressure: 1.0
Processed Iteration 1700,episodic return 1367.3073020071417, reward_pressure: 1.0
Processed Iteration 1750,episodic return 1383.9928920070006, reward_pressure: 1.0
Processed Iteration 1800,episodic return 1378.1798489667847, reward_pressure: 1.0
Processed Iteration 1850,episodic return 1268.8172621002163, reward_pressure: 1.0
Processed Iteration 1900,episodic return 1354.9038839324237, reward_pressure: 1.0
Processed Iteration 1950,episodic return 1295.9500902930777, reward_pressure: 1.0
Processed Iteration 2000,episodic return 1313.583760582583, reward_pressure: 1.0
