Processed Iteration 50,episodic return 208.08007148321212, reward_pressure: 1.0
Processed Iteration 100,episodic return 448.1746692176858, reward_pressure: 1.0
Processed Iteration 150,episodic return 841.6088325739261, reward_pressure: 1.0
Processed Iteration 200,episodic return 1024.7637633346808, reward_pressure: 1.0
Processed Iteration 250,episodic return 1121.1500168730413, reward_pressure: 1.0
Processed Iteration 300,episodic return 1197.207071087469, reward_pressure: 1.0
Processed Iteration 350,episodic return 1294.2577122891826, reward_pressure: 1.0
Processed Iteration 400,episodic return 1334.9930984405105, reward_pressure: 1.0
Processed Iteration 450,episodic return 1474.4949005870624, reward_pressure: 1.0
Processed Iteration 500,episodic return 1491.967585105483, reward_pressure: 1.0
Processed Iteration 550,episodic return 1451.9937170113337, reward_pressure: 1.0
Processed Iteration 600,episodic return 1492.3603465561312, reward_pressure: 1.0
Processed Iteration 650,episodic return 1480.73483229306, reward_pressure: 1.0
Processed Iteration 700,episodic return 1579.9688138848762, reward_pressure: 1.0
Processed Iteration 750,episodic return 1595.8310168067096, reward_pressure: 1.0
Processed Iteration 800,episodic return 1586.1178849437806, reward_pressure: 1.0
Processed Iteration 850,episodic return 1556.0795858139766, reward_pressure: 1.0
Processed Iteration 900,episodic return 1480.7915635958861, reward_pressure: 1.0
Processed Iteration 950,episodic return 1657.1590943494073, reward_pressure: 1.0
Processed Iteration 1000,episodic return 1493.6390110788943, reward_pressure: 1.0
Processed Iteration 1050,episodic return 1399.2030612643966, reward_pressure: 1.0
Processed Iteration 1100,episodic return 1469.6400662218296, reward_pressure: 1.0
Processed Iteration 1150,episodic return 1409.9598704798045, reward_pressure: 1.0
Processed Iteration 1200,episodic return 1481.7257958983578, reward_pressure: 1.0
Processed Iteration 1250,episodic return 1496.2474532449348, reward_pressure: 1.0
Processed Iteration 1300,episodic return 1519.832808385201, reward_pressure: 1.0
Processed Iteration 1350,episodic return 1635.397844685972, reward_pressure: 1.0
Processed Iteration 1400,episodic return 1663.2049463506637, reward_pressure: 1.0
Processed Iteration 1450,episodic return 1622.46869217713, reward_pressure: 1.0
Processed Iteration 1500,episodic return 1577.2289732118786, reward_pressure: 1.0
Processed Iteration 1550,episodic return 1542.405625783205, reward_pressure: 1.0
Processed Iteration 1600,episodic return 1630.0626337572842, reward_pressure: 1.0
Processed Iteration 1650,episodic return 1600.4111305915428, reward_pressure: 1.0
Processed Iteration 1700,episodic return 1622.6460284116613, reward_pressure: 1.0
Processed Iteration 1750,episodic return 1657.6904264053335, reward_pressure: 1.0
Processed Iteration 1800,episodic return 1544.2136620134522, reward_pressure: 1.0
Processed Iteration 1850,episodic return 1689.1013513951737, reward_pressure: 1.0
Processed Iteration 1900,episodic return 1568.102332915137, reward_pressure: 1.0
Processed Iteration 1950,episodic return 1575.0150827325501, reward_pressure: 1.0
Processed Iteration 2000,episodic return 1789.5802596128751, reward_pressure: 1.0
